Código|Data|Último|Abertura|Máxima|Mínima|Vol.|Var%
AAPL34|Dez 16|8,95|9,05|9,32|8,66|524,80K|0,00%
AAPL34|Nov 16|8,95|8,40|9,04|8,26|871,20K|4,29%
AAPL34|Out 16|8,58|8,50|8,91|8,46|769,60K|-0,68%
AAPL34|Set 16|8,64|8,17|8,93|7,72|1,28M|6,81%
AAPL34|Ago 16|8,09|8,10|8,32|7,88|1,14M|2,20%
AAPL34|Jul 16|7,91|7,28|8,07|7,03|2,42M|9,07%
AAPL34|Jun 16|7,25|8,29|8,40|7,12|1,12M|-13,27%
AAPL34|Mai 16|8,36|7,57|8,48|7,32|2,01M|10,63%
AAPL34|Abr 16|7,56|9,17|9,38|7,51|1,52M|-18,02%
AAPL34|Mar 16|9,22|9,20|9,31|8,28|2,25M|2,03%
AAPL34|Fev 16|9,04|8,85|9,20|8,59|1,69M|0,16%
AAPL34|Jan 16|9,02|9,61|9,77|8,83|1,89M|-9,03%
AAPL34|Dez 15|9,92|10,61|10,61|9,62|1,78M|-7,91%
AAPL34|Nov 15|10,77|10,78|10,95|10,03|1,51M|-0,42%
AAPL34|Out 15|10,82|10,03|10,82|9,53|1,94M|7,22%
AAPL34|Set 15|10,09|9,38|11,00|9,32|4,47M|5,50%
AAPL34|Ago 15|9,56|9,64|9,64|8,43|2,07M|-0,19%
AAPL34|Jul 15|9,58|9,11|9,87|8,92|1,56M|6,61%
AAPL34|Jun 15|8,99|9,64|9,64|8,94|674,40K|-6,18%
AAPL34|Mai 15|9,58|9,14|9,64|8,38|480,00K|11,75%
AAPL34|Abr 15|8,57|9,02|9,13|8,57|689,20K|-6,48%
AAPL34|Mar 15|9,17|8,50|9,73|8,44|2,08M|7,88%
AAPL34|Fev 15|8,50|7,24|8,79|7,17|528,80K|15,32%
AAPL34|Jan 15|7,37|6,75|7,97|6,32|1,73M|7,44%
AAPL34|Dez 14|6,86|6,77|7,07|6,59|983,60K|-5,91%
AAPL34|Nov 14|7,29|6,29|7,29|6,15|269,60K|19,04%
AAPL34|Out 14|6,12|5,57|6,12|5,42|210,00K|14,41%
AAPL34|Set 14|5,35|5,32|5,76|5,01|1,13M|2,92%
AAPL34|Ago 14|5,20|4,82|5,30|4,82|102,80K|5,46%
AAPL34|Jul 14|4,93|4,64|4,93|4,40|132,00K|8,98%
AAPL34|Jun 14|4,52|4,62|4,94|4,47|1,31M|-1,37%
AAPL34|Mai 14|4,59|4,23|4,66|4,21|1,48M|8,37%
AAPL34|Abr 14|4,23|3,93|4,23|3,68|814,80K|7,97%
AAPL34|Mar 14|3,92|3,99|4,04|3,92|344,40K|-1,00%
AAPL34|Fev 14|3,96|3,92|4,24|3,91|490,00K|2,53%
AAPL34|Jan 14|3,86|4,21|4,26|3,84|434,00K|-8,49%
AAPL34|Dez 13|4,22|4,23|4,31|4,04|2,53M|2,20%
AAPL34|Nov 13|4,13|3,69|4,13|3,69|2,50M|10,95%
AAPL34|Out 13|3,72|3,42|3,72|3,37|1,21M|8,54%
AAPL34|Set 13|3,43|3,74|3,74|3,22|2,95M|-8,11%
AAPL34|Ago 13|3,73|3,28|3,90|3,28|1,03M|13,79%
AAPL34|Jul 13|3,28|2,85|3,28|2,85|1,45M|18,47%
AAPL34|Jun 13|2,77|3,04|3,07|2,75|2,25M|-8,33%
AAPL34|Mai 13|3,02|2,81|3,05|2,78|1,98M|10,54%
AAPL34|Abr 13|2,73|2,76|2,76|2,46|5,21M|-3,05%
AAPL34|Mar 13|2,82|2,69|2,93|2,58|1,64M|2,54%
AAPL34|Fev 13|2,75|2,79|2,94|2,72|772,80K|-2,80%
AAPL34|Jan 13|2,83|3,48|3,48|2,73|481,60K|-13,33%
AAPL34|Dez 12|3,26|3,66|3,66|3,26|386,40K|-16,00%
AAPL34|Nov 12|3,88|3,50|3,88|3,49|187,60K|3,28%
AAPL34|Out 12|3,76|4,23|4,23|3,76|151,20K|-10,80%
AAPL34|Set 12|4,22|4,25|4,31|4,22|28,00K|0,85%
AAPL34|Ago 12|4,18|3,81|4,32|3,81|392,00K|8,97%
AAPL34|Jul 12|3,84|3,81|3,89|3,63|305,20K|6,09%
AAPL34|Jun 12|3,62|3,48|3,65|3,48|89,60K|1,08%
AAPL34|Mai 12|3,58|3,43|3,58|3,26|126,00K|4,08%
AAPL34|Abr 12|3,44|3,53|3,53|3,44|218,40K|2,39%
AAPL34|Mar 12|3,36|2,86|3,38|2,85|229,60K|17,65%
AAPL34|Fev 12|2,85|2,46|2,85|2,40|235,20K|18,40%
AAPL34|Jan 12|2,41|2,34|2,44|2,33|137,20K|3,30%
AAPL34|Dez 11|2,33|2,14|2,33|2,14|109,20K|0,00%
AAPL34|Set 11|2,33|2,04|2,33|2,04|16,80K|24,26%
AAPL34|Ago 11|1,88|1,81|1,88|1,81|56,00K|-1,61%
AAPL34|Jul 11|1,91|1,91|1,91|1,91|2,80K|10,03%
AAPL34|Mai 11|1,74|1,74|1,74|1,74|64,40K|2,83%
AAPL34|Abr 11|1,69|1,69|1,69|1,69|2,80K|-8,05%
AAPL34|Fev 11|1,84|1,84|1,84|1,84|36,40K|1,02%
AAPL34|Jan 11|1,82|1,82|1,82|1,82|2,80K|7,27%
AAPL34|Dez 10|1,69|1,69|1,71|1,68|173,60K|1,66%
AAPL34|Nov 10|1,67|1,61|1,67|1,61|207,20K|4,04%
ABEV3|Fev 22|14,41|14,94|15,13|14,17|18,25M|-3,74%
ABEV3|Jan 22|14,97|15,42|15,54|14,35|491,79M|-2,92%
ABEV3|Dez 21|15,42|15,49|15,83|15,05|434,63M|-3,99%
ABEV3|Nov 21|16,06|17,13|18,12|15,97|508,41M|-5,47%
ABEV3|Out 21|16,99|15,41|17,22|14,54|542,04M|11,05%
ABEV3|Set 21|15,30|17,16|17,38|15,29|514,65M|-10,53%
ABEV3|Ago 21|17,10|16,90|17,67|16,11|465,89M|2,76%
ABEV3|Jul 21|16,64|16,86|18,17|16,53|481,86M|-2,52%
ABEV3|Jun 21|17,07|17,99|19,86|16,90|661,26M|-4,90%
ABEV3|Mai 21|17,95|14,92|17,95|14,54|496,78M|20,15%
ABEV3|Abr 21|14,94|15,39|16,11|14,91|350,80M|-2,29%
ABEV3|Mar 21|15,29|14,16|15,73|13,35|575,94M|9,06%
ABEV3|Fev 21|14,02|15,36|16,30|14,00|450,36M|-7,21%
ABEV3|Jan 21|15,11|15,72|16,83|14,95|497,21M|-2,99%
ABEV3|Dez 20|15,58|13,66|16,02|13,65|611,82M|14,91%
ABEV3|Nov 20|13,56|12,02|15,21|11,97|645,42M|14,78%
ABEV3|Out 20|11,81|12,17|13,97|11,81|630,26M|-2,87%
ABEV3|Set 20|12,16|12,12|12,86|11,67|582,54M|1,87%
ABEV3|Ago 20|11,94|13,52|13,56|11,94|622,85M|-11,44%
ABEV3|Jul 20|13,48|13,83|15,44|13,24|835,33M|-1,70%
ABEV3|Jun 20|13,71|11,95|14,38|11,89|577,92M|13,30%
ABEV3|Mai 20|12,10|10,80|13,11|10,76|646,29M|10,05%
ABEV3|Abr 20|11,00|11,25|12,58|10,36|520,04M|-4,87%
ABEV3|Mar 20|11,56|14,15|15,08|10,05|954,34M|-18,02%
ABEV3|Fev 20|14,10|17,38|17,57|13,58|569,29M|-18,54%
ABEV3|Jan 20|17,31|18,29|18,99|17,24|343,30M|-4,39%
ABEV3|Dez 19|18,10|17,05|18,77|16,77|457,94M|6,15%
ABEV3|Nov 19|17,05|16,49|17,29|16,23|256,47M|3,86%
ABEV3|Out 19|16,42|18,23|18,39|16,35|539,59M|-9,71%
ABEV3|Set 19|18,19|17,69|18,67|17,25|398,83M|2,83%
ABEV3|Ago 19|17,69|19,05|19,58|16,92|491,83M|-7,00%
ABEV3|Jul 19|19,02|17,10|19,62|16,71|514,25M|12,52%
ABEV3|Jun 19|16,90|16,63|17,55|16,27|324,19M|1,94%
ABEV3|Mai 19|16,58|17,25|17,51|15,45|519,10M|-4,98%
ABEV3|Abr 19|17,45|15,94|17,52|15,80|399,30M|9,74%
ABEV3|Mar 19|15,90|16,19|16,55|15,40|466,30M|-2,32%
ABEV3|Fev 19|16,28|16,57|18,00|16,22|469,12M|-1,60%
ABEV3|Jan 19|16,54|14,55|17,20|14,55|540,09M|13,85%
ABEV3|Dez 18|14,53|15,74|15,75|14,09|333,36M|-7,23%
ABEV3|Nov 18|15,66|15,15|15,66|14,43|348,97M|3,55%
ABEV3|Out 18|15,13|16,99|17,40|13,46|509,63M|-10,91%
ABEV3|Set 18|16,98|17,50|17,76|16,56|257,71M|-2,71%
ABEV3|Ago 18|17,45|18,01|18,25|17,19|333,24M|-2,89%
ABEV3|Jul 18|17,97|16,60|18,79|16,48|292,11M|7,95%
ABEV3|Jun 18|16,65|17,99|18,65|16,47|360,73M|-7,90%
ABEV3|Mai 18|18,07|21,27|21,43|17,80|472,95M|-15,60%
ABEV3|Abr 18|21,41|22,09|22,54|20,90|267,47M|-3,07%
ABEV3|Mar 18|22,09|20,82|22,34|20,21|271,03M|9,41%
ABEV3|Fev 18|20,19|20,22|20,95|19,37|339,35M|0,55%
ABEV3|Jan 18|20,08|19,52|20,37|19,37|219,45M|3,15%
ABEV3|Dez 17|19,47|18,43|19,64|18,30|262,04M|5,06%
ABEV3|Nov 17|18,53|18,93|19,13|17,90|269,40M|-1,63%
ABEV3|Out 17|18,84|18,86|20,46|18,46|312,65M|-0,67%
ABEV3|Set 17|18,96|17,96|19,56|17,67|298,41M|5,94%
