Código|Data|Último|Abertura|Máxima|Mínima|Vol.|Var%
BBDC3|Dez 96|0,80|0,80|0,81|0,76|1,83M|0,00%
BBDC3|Nov 96|0,80|0,88|0,89|0,79|2,53M|-10,11%
BBDC3|Out 96|0,89|0,86|0,90|0,85|723,73K|3,49%
BBDC3|Set 96|0,86|0,83|0,88|0,82|870,21K|3,61%
BBDC3|Ago 96|0,83|0,83|0,90|0,82|688,24K|0,00%
BBDC3|Jul 96|0,83|0,82|0,86|0,78|2,56M|1,22%
BBDC3|Jun 96|0,82|0,77|0,84|0,73|1,15M|43,86%
BBDC3|Mai 96|0,57|0,53|0,60|0,51|14,34M|9,62%
BBDC3|Abr 96|0,52|0,48|0,53|0,46|2,40M|8,33%
BBDC3|Mar 96|0,48|0,51|0,53|0,46|2,29M|-4,00%
BBDC3|Fev 96|0,50|0,53|0,58|0,50|2,93M|-7,41%
BBDC3|Jan 96|0,54|0,43|0,54|0,42|2,55M|25,58%
BBDC3|Dez 95|0,43|0,40|0,44|0,40|1,21M|4,88%
BBDC3|Nov 95|0,41|0,45|0,45|0,37|980,29K|-8,89%
BBDC3|Out 95|0,45|0,45|0,48|0,41|592,26K|0,00%
BBDC3|Set 95|0,45|0,46|0,50|0,44|2,17M|-2,17%
BBDC3|Ago 95|0,46|0,44|0,48|0,43|2,11M|6,98%
BBDC3|Jul 95|0,43|0,38|0,45|0,38|3,02M|13,16%
BBDC3|Jun 95|0,38|0,38|0,42|0,37|1,44M|0,00%
BBDC3|Mai 95|0,38|0,35|0,41|0,35|1,56M|8,57%
BBDC3|Abr 95|0,35|0,31|0,38|0,29|1,29M|9,38%
BBDC3|Mar 95|0,32|0,33|0,35|0,25|1,84M|-5,88%
BBDC3|Fev 95|0,34|0,36|0,37|0,30|4,43M|-5,56%
BBDC3|Jan 95|0,36|0,39|0,39|0,29|548,20K|-2,70%
BBDC3|Dez 94|0,37|0,36|0,41|0,34|9,09M|2,78%
BBDC3|Nov 94|0,36|0,40|0,40|0,35|2,35M|-10,00%
BBDC3|Out 94|0,40|0,43|0,45|0,38|5,61M|-6,98%
BBDC3|Set 94|0,43|0,44|0,44|0,36|2,53M|0,00%
BBDC3|Ago 94|0,43|0,33|0,50|0,33|2,99M|30,30%
BBDC3|Jul 94|0,33|0,29|0,35|0,23|803,85K|13,79%
BBDC3|Jun 94|0,29|0,25|0,30|0,22|655,67K|16,00%
BBDC3|Mai 94|0,25|0,14|0,26|0,12|728,56K|78,57%
BBDC3|Abr 94|0,14|0,13|0,14|0,10|1,33M|0,00%
BBDC3|Mar 94|0,14|0,09|0,14|0,08|1,34M|55,56%
BBDC3|Fev 94|0,09|0,07|0,10|0,06|1,65M|50,00%
BBDC3|Jan 94|0,06|0,04|0,07|0,04|1,22M|50,00%
BBDC3|Dez 93|0,04|0,03|0,04|0,03|6,05M|33,33%
BBDC3|Nov 93|0,03|0,02|0,03|0,02|5,50M|50,00%
BBDC3|Out 93|0,02|0,01|0,02|0,01|10,29M|100,00%
BBDC3|Set 93|0,01|0,01|0,02|0,01|24,59M|0,00%
BBDC3|Ago 93|0,01|0,01|0,01|0,01|4,20M|0,00%
BBDC3|Jul 93|0,01|0,01|0,01|0,00|16,21M|0,00%
BBDC3|Jun 93|0,01|0,00|0,01|0,00|4,66M|0,00%
BBDC3|Mai 93|0,00|0,00|0,00|0,00|-|0,00%
BBDC3|Abr 93|0,00|0,00|0,00|0,00|-|0,00%
BBDC3|Mar 93|0,00|0,00|0,00|0,00|-|0,00%
BBDC3|Fev 93|0,00|0,00|0,00|0,00|-|0,00%
BBDC3|Jan 93|0,00|0,00|0,00|0,00|-|0,00%
BBDC3|Dez 92|0,00|0,00|0,00|0,00|-|0,00%
BBDC3|Nov 92|0,00|0,00|0,00|0,00|-|0,00%
BKNG34|Fev 22|74,82|75,56|75,56|72,78|28,87K|0,23%
BKNG34|Jan 22|74,65|76,50|81,55|69,98|1,05M|-1,85%
BKNG34|Dez 21|76,06|67,67|78,91|66,68|946,24K|14,72%
BKNG34|Nov 21|66,30|78,84|87,99|66,30|1,44M|-15,05%
BKNG34|Out 21|78,05|74,00|80,13|73,57|631,65K|4,78%
BKNG34|Set 21|74,49|67,89|77,00|67,14|326,50K|9,82%
BKNG34|Ago 21|67,83|64,02|69,00|61,71|1,27M|4,05%
BKNG34|Jul 21|65,19|62,88|67,49|61,45|304,96K|4,67%
BKNG34|Jun 21|62,28|69,80|70,43|61,26|303,57K|-10,77%
BKNG34|Mai 21|69,80|77,04|77,39|65,47|370,79K|-9,34%
BKNG34|Abr 21|76,99|75,02|80,55|73,10|383,17K|2,65%
BKNG34|Mar 21|75,00|75,50|81,50|68,50|730,94K|0,07%
BKNG34|Fev 21|74,95|63,30|76,50|61,45|414,26K|23,50%
BKNG34|Jan 21|60,69|65,30|74,50|57,65|395,49K|-7,13%
BKNG34|Dez 20|65,35|62,50|67,32|59,37|298,60K|5,15%
BKNG34|Nov 20|62,15|53,40|66,00|51,98|444,62K|16,39%
BKNG34|Out 20|53,40|55,71|58,83|52,77|261,66K|-6,55%
BKNG34|Set 20|57,14|60,00|60,00|50,51|303,35K|-5,18%
BKNG34|Ago 20|60,26|50,87|61,60|50,00|282,80K|22,11%
BKNG34|Jul 20|49,35|50,53|55,23|48,56|549,71K|0,67%
BKNG34|Jun 20|49,02|51,04|52,14|46,21|65,59K|-3,16%
BKNG34|Mai 20|50,62|45,60|52,71|44,50|77,84K|9,42%
BKNG34|Abr 20|46,26|38,09|47,33|36,80|34,16K|24,29%
BKNG34|Mar 20|37,22|43,57|44,57|33,40|95,69K|-14,14%
BKNG34|Fev 20|43,35|44,69|49,68|42,49|103,74K|-5,80%
BKNG34|Jan 20|46,02|47,42|49,86|46,02|68,60K|-4,11%
BKNG34|Dez 19|47,99|45,49|47,99|45,04|29,40K|2,41%
BKNG34|Nov 19|46,86|46,59|46,86|43,41|56,70K|-0,23%
BKNG34|Out 19|46,97|47,36|48,43|45,56|44,80K|0,56%
BKNG34|Set 19|46,71|46,12|48,46|46,12|44,80K|1,24%
BKNG34|Ago 19|46,14|43,45|46,14|43,45|247,10K|14,21%
BKNG34|Jul 19|40,40|41,74|41,74|40,27|2,80K|1,69%
BKNG34|Jun 19|39,73|39,73|39,73|39,73|62,30K|-1,73%
CPTS11|Fev 22|97,50|96,71|97,53|96,70|74,41K|0,83%
CPTS11|Jan 22|96,70|95,27|97,50|95,25|1,64M|0,77%
CPTS11|Dez 21|95,96|94,82|97,80|93,91|1,75M|0,17%
CPTS11|Nov 21|95,80|96,99|97,49|94,01|1,75M|-2,19%
CPTS11|Out 21|97,95|97,06|98,96|96,67|1,74M|-0,15%
CPTS11|Set 21|98,10|97,46|98,59|97,21|1,89M|-0,30%
CPTS11|Ago 21|98,40|98,89|99,28|97,50|2,20M|-1,29%
CPTS11|Jul 21|99,69|99,02|100,97|98,52|2,29M|-0,53%
CPTS11|Jun 21|100,22|98,81|101,25|95,00|2,40M|0,42%
CPTS11|Mai 21|99,80|100,11|100,75|99,11|2,14M|-0,21%
CPTS11|Abr 21|100,01|98,74|101,46|98,74|1,58M|-1,47%
CPTS11|Mar 21|101,50|98,95|102,02|98,00|1,82M|1,54%
CPTS11|Fev 21|99,96|99,37|101,32|98,12|1,39M|-2,00%
CPTS11|Jan 21|102,00|103,19|103,29|99,30|1,19M|-2,06%
CPTS11|Dez 20|104,15|96,06|104,40|95,47|1,04M|7,54%
CPTS11|Nov 20|96,85|94,67|98,00|94,47|803,98K|2,42%
CPTS11|Out 20|94,56|95,01|98,42|94,08|866,65K|-0,12%
CPTS11|Set 20|94,67|92,68|95,34|92,39|585,16K|1,96%
CPTS11|Ago 20|92,85|93,23|93,69|90,93|491,98K|-0,52%
CPTS11|Jul 20|93,33|98,58|102,18|90,55|635,10K|-5,31%
CPTS11|Jun 20|98,57|89,88|98,67|89,35|334,43M|10,33%
CPTS11|Mai 20|89,34|89,44|92,73|87,01|95,48M|-0,11%
CPTS11|Abr 20|89,44|81,71|90,08|76,28|103,93M|10,05%
CPTS11|Mar 20|81,27|93,89|96,83|60,23|283,91M|-13,41%
CPTS11|Fev 20|93,85|97,17|100,10|92,43|241,87M|-2,83%
CPTS11|Jan 20|96,58|103,08|107,56|96,58|388,00M|-6,15%
CPTS11|Dez 19|102,91|96,19|106,96|96,19|293,38M|8,04%
CPTS11|Nov 19|95,25|94,50|97,02|93,91|182,68M|1,42%
CPTS11|Out 19|93,92|93,35|98,59|91,41|171,04M|1,28%
CPTS11|Set 19|92,73|88,19|93,17|87,49|274,27M|5,74%
CPTS11|Ago 19|87,70|92,58|93,81|87,00|222,64M|-4,67%
CPTS11|Jul 19|92,00|86,41|92,05|86,09|111,37M|7,29%
CPTS11|Jun 19|85,75|81,52|85,76|80,87|157,94M|6,39%
CPTS11|Mai 19|80,60|80,58|81,22|80,05|84,21M|-0,21%
CPTS11|Abr 19|80,77|80,69|80,89|79,56|89,95M|0,15%
CPTS11|Mar 19|80,65|80,25|81,03|80,07|52,12M|0,55%
CPTS11|Fev 19|80,21|81,43|81,43|79,73|81,34M|-0,99%
CPTS11|Jan 19|81,01|80,01|81,59|79,89|136,81M|0,55%
CPTS11|Dez 18|80,57|80,32|81,20|79,07|66,02M|1,08%
CPTS11|Nov 18|79,71|80,56|80,56|77,45|30,23M|-0,37%
CPTS11|Out 18|80,00|76,75|80,09|76,75|23,62M|3,99%
CPTS11|Set 18|76,93|76,61|77,00|75,85|19,81M|0,72%
CPTS11|Ago 18|76,38|75,62|76,38|75,32|33,66M|1,94%
CPTS11|Jul 18|74,93|74,86|75,73|74,21|44,62M|0,12%
CPTS11|Jun 18|74,84|74,73|74,84|71,66|33,39M|0,79%
CPTS11|Mai 18|74,26|73,84|74,59|73,41|90,58M|0,87%
CPTS11|Abr 18|73,61|72,73|73,62|72,51|66,61M|1,78%
CPTS11|Mar 18|72,33|72,33|72,53|71,23|81,74M|0,42%
CPTS11|Fev 18|72,03|71,88|72,18|71,60|44,61M|0,93%
CPTS11|Jan 18|71,36|71,43|71,71|70,93|79,13M|0,35%
CPTS11|Dez 17|71,12|70,56|71,26|70,56|52,07M|0,95%
CPTS11|Nov 17|70,45|70,52|71,16|69,82|25,41M|0,66%
CPTS11|Out 17|69,99|70,06|70,55|69,28|29,84M|0,72%
CPTS11|Set 17|69,48|69,41|70,02|68,85|18,77M|0,21%
CPTS11|Ago 17|69,34|68,61|69,66|68,09|29,43M|1,93%
CPTS11|Jul 17|68,03|66,04|68,03|66,04|12,78M|3,29%
CPTS11|Jun 17|65,86|67,91|68,15|65,07|21,46M|-2,67%
CPTS11|Mai 17|67,67|68,01|68,01|65,98|43,59M|0,49%
CPTS11|Abr 17|67,33|67,33|67,66|67,05|48,20M|1,11%
CPTS11|Mar 17|66,59|66,59|68,58|66,26|41,44M|0,05%
CPTS11|Fev 17|66,56|68,47|68,47|65,57|22,76M|2,02%
CPTS11|Jan 17|65,24|65,63|65,89|63,94|20,10M|1,83%
CPTS11|Dez 16|64,07|66,28|66,48|63,74|34,80M|-0,51%
CPTS11|Nov 16|64,40|66,70|69,69|64,13|33,10M|-6,96%
CPTS11|Out 16|69,21|67,16|74,41|64,48|17,14M|3,81%
CPTS11|Set 16|66,67|64,55|79,17|62,49|20,24M|6,08%
CPTS11|Ago 16|62,85|60,45|64,36|60,45|20,92M|3,80%
CPTS11|Jul 16|60,55|60,86|61,15|59,16|37,95M|0,76%
CPTS11|Jun 16|60,09|58,05|61,85|58,05|26,18M|3,96%
CPTS11|Mai 16|57,81|58,67|58,67|56,66|19,81M|-0,20%
CPTS11|Abr 16|57,92|56,50|58,77|54,21|11,45M|0,69%
CPTS11|Mar 16|57,52|56,39|58,09|55,75|10,30M|3,34%
CPTS11|Fev 16|55,66|55,38|55,66|53,17|1,60M|1,11%
CPTS11|Jan 16|55,05|51,85|55,05|51,85|4,42M|0,60%
CPTS11|Dez 15|54,72|54,99|55,53|51,22|10,73M|-0,59%
CPTS11|Nov 15|55,05|54,41|55,05|52,22|9,54M|2,25%
CPTS11|Out 15|53,84|55,24|55,24|52,66|4,76M|0,42%
CPTS11|Set 15|53,61|51,50|53,61|51,50|11,92M|1,26%
CPTS11|Ago 15|52,94|52,45|52,97|51,50|26,15M|1,28%
CPTS11|Jul 15|52,27|51,80|52,27|49,95|22,34M|1,54%
CPTS11|Jun 15|51,48|51,04|51,51|49,55|37,09M|1,47%
CPTS11|Mai 15|50,73|50,31|50,73|49,18|28,39M|0,89%
CPTS11|Abr 15|50,28|49,82|50,80|48,84|24,82M|0,94%
CPTS11|Mar 15|49,81|49,35|49,81|48,39|29,91M|1,08%
CPTS11|Fev 15|49,28|48,87|49,28|48,15|31,20M|1,01%
CPTS11|Jan 15|48,79|47,86|48,79|47,84|74,27M|2,65%
CPTS11|Dez 14|47,53|46,83|47,53|46,62|52,99M|3,91%
CPTS11|Nov 14|45,74|45,85|46,10|45,74|11,04M|-0,21%
CPTS11|Out 14|45,83|45,40|45,86|44,95|45,69M|-0,05%
DISB34|Fev 22|50,65|51,00|51,08|49,00|108,01K|0,24%
DISB34|Jan 22|50,53|57,90|60,72|47,57|2,76M|-12,50%
DISB34|Dez 21|57,75|54,64|58,99|53,54|1,67M|7,14%
DISB34|Nov 21|53,90|63,99|66,71|53,85|3,49M|-14,72%
DISB34|Out 21|63,20|61,79|65,99|61,51|1,86M|2,28%
DISB34|Set 21|61,79|62,64|66,19|59,56|3,03M|-1,36%
DISB34|Ago 21|62,64|60,92|65,75|59,00|2,13M|2,69%
DISB34|Jul 21|61,00|58,20|63,99|57,80|2,04M|4,60%
DISB34|Jun 21|58,32|62,40|62,40|57,01|1,83M|-5,86%
DISB34|Mai 21|61,95|68,00|68,67|58,86|2,12M|-8,15%
DISB34|Abr 21|67,45|70,00|73,19|65,50|2,78M|-3,51%
DISB34|Mar 21|69,90|72,50|79,45|68,17|3,09M|-0,85%
DISB34|Fev 21|70,50|62,00|72,70|61,20|1,76M|13,73%
DISB34|Jan 21|61,99|62,00|66,67|57,30|2,42M|-1,18%
DISB34|Dez 20|62,73|53,33|63,83|51,56|2,59M|18,36%
DISB34|Nov 20|53,00|46,37|55,06|45,27|2,40M|14,35%
DISB34|Out 20|46,35|47,20|49,00|45,13|660,76K|-3,30%
DISB34|Set 20|47,93|48,40|48,74|44,65|946,56K|-0,97%
DISB34|Ago 20|48,40|41,60|50,67|41,07|599,70K|19,36%
DISB34|Jul 20|40,55|41,13|43,60|39,65|548,70K|0,97%
DISB34|Jun 20|40,16|41,67|43,20|38,35|1,41M|-3,62%
DISB34|Mai 20|41,67|39,00|45,53|37,60|517,35K|5,73%
DISB34|Abr 20|39,41|32,73|41,07|32,73|1,54M|16,19%
DISB34|Mar 20|33,92|35,41|36,94|27,67|1,29M|-1,19%
DISB34|Fev 20|34,33|40,60|41,48|34,33|646,50K|-12,60%
DISB34|Jan 20|39,28|39,55|40,68|38,04|718,50K|1,95%
DISB34|Dez 19|38,53|42,34|42,34|38,53|327,00K|-9,36%
DISB34|Nov 19|42,51|34,92|43,33|34,81|243,00K|22,83%
DISB34|Out 19|34,61|36,24|36,72|34,38|385,50K|-3,35%
DISB34|Set 19|35,81|37,67|37,84|35,64|172,50K|-4,58%
DISB34|Ago 19|37,53|36,62|38,02|35,24|484,50K|2,93%
DISB34|Jul 19|36,46|35,64|36,68|34,78|211,50K|3,34%
DISB34|Jun 19|35,28|33,85|36,35|33,79|249,00K|3,31%
DISB34|Mai 19|34,15|35,23|36,93|34,15|367,50K|-3,61%
DISB34|Abr 19|35,43|28,74|36,51|28,42|421,50K|23,84%
DISB34|Mar 19|28,61|28,35|29,40|27,00|342,00K|2,77%
DISB34|Fev 19|27,84|26,67|28,38|26,67|243,00K|4,04%
DISB34|Jan 19|26,76|27,22|27,99|26,67|195,00K|-1,18%
DISB34|Dez 18|27,08|29,09|29,09|26,60|328,50K|-7,32%
DISB34|Nov 18|29,22|28,10|29,56|27,88|190,50K|4,17%
DISB34|Out 18|28,05|30,87|30,87|26,93|619,50K|-8,78%
DISB34|Set 18|30,75|30,46|31,04|29,38|321,00K|2,36%
DISB34|Ago 18|30,04|27,82|30,76|27,64|892,50K|7,94%
DISB34|Jul 18|27,83|26,37|28,91|26,37|207,00K|5,06%
DISB34|Jun 18|26,49|24,04|26,84|24,04|264,00K|9,19%
DISB34|Mai 18|24,26|22,72|25,45|22,69|366,00K|6,12%
DISB34|Abr 18|22,86|21,42|23,14|21,42|219,00K|6,13%
DISB34|Mar 18|21,54|21,63|22,27|21,38|202,50K|-1,78%
DISB34|Fev 18|21,93|22,78|23,01|21,73|315,00K|-3,18%
DISB34|Jan 18|22,65|23,54|23,74|22,63|198,00K|-2,45%
DISB34|Dez 17|23,22|22,13|24,06|22,04|193,50K|4,69%
DISB34|Nov 17|22,18|20,84|22,28|20,84|228,00K|7,31%
DISB34|Out 17|20,67|20,34|20,97|19,73|136,50K|2,73%
DISB34|Set 17|20,12|20,64|20,64|19,29|240,00K|-2,38%
DISB34|Ago 17|20,61|22,16|22,16|20,45|301,50K|-7,08%
DISB34|Jul 17|22,18|22,66|22,66|21,48|189,00K|-1,55%
DISB34|Jun 17|22,53|22,41|22,72|21,89|321,00K|0,49%
DISB34|Mai 17|22,42|23,08|23,08|21,33|388,50K|-4,64%
DISB34|Abr 17|23,51|22,53|23,51|22,48|294,00K|5,14%
DISB34|Mar 17|22,36|22,00|22,87|22,00|211,50K|3,90%
DISB34|Fev 17|21,52|22,49|22,49|21,52|169,50K|-3,19%
DISB34|Jan 17|22,23|22,00|22,46|21,71|210,00K|2,25%
DISB34|Dez 16|21,74|21,77|22,88|21,72|211,50K|1,45%
DISB34|Nov 16|21,43|19,34|21,52|19,07|291,00K|14,05%
DISB34|Out 16|18,79|18,99|19,10|18,29|229,50K|-2,24%
DISB34|Set 16|19,22|19,40|19,62|18,79|325,50K|-1,49%
DISB34|Ago 16|19,51|19,78|19,97|19,17|405,00K|-1,46%
DISB34|Jul 16|19,80|19,82|21,02|19,80|354,00K|-0,35%
DISB34|Jun 16|19,87|22,38|22,38|19,61|342,00K|-12,04%
DISB34|Mai 16|22,59|22,74|24,14|21,91|772,50K|0,62%
DISB34|Abr 16|22,45|22,43|23,37|21,34|616,50K|-0,09%
DISB34|Mar 16|22,47|24,07|24,28|22,03|675,00K|-7,23%
DISB34|Fev 16|24,22|23,88|24,28|22,14|717,00K|0,79%
DISB34|Jan 16|24,03|26,23|26,29|23,53|417,00K|-10,50%
DISB34|Dez 15|26,85|27,84|27,97|26,08|508,50K|-3,94%
DISB34|Nov 15|27,95|27,34|28,08|26,62|606,00K|0,32%
DISB34|Out 15|27,86|25,74|28,22|24,66|354,00K|11,17%
DISB34|Set 15|25,06|23,31|26,42|22,89|498,00K|7,78%
DISB34|Ago 15|23,25|26,31|26,50|21,34|564,00K|-10,06%
DISB34|Jul 15|25,85|22,58|26,05|22,24|289,50K|15,61%
DISB34|Jun 15|22,36|21,90|22,36|21,21|82,50K|2,10%
DISB34|Mai 15|21,90|21,15|21,90|20,15|157,50K|7,04%
DISB34|Abr 15|20,46|20,53|21,01|19,85|301,50K|-3,13%
DISB34|Mar 15|21,12|18,97|22,31|18,97|508,50K|12,58%
DISB34|Fev 15|18,76|15,42|19,14|15,40|316,50K|20,33%
DISB34|Jan 15|15,59|15,95|16,04|14,98|711,00K|-1,27%
DISB34|Dez 14|15,79|14,64|16,28|14,59|624,00K|11,28%
DISB34|Nov 14|14,19|14,09|14,48|13,80|510,00K|2,83%
DISB34|Out 14|13,80|13,36|13,80|12,36|358,50K|2,07%
DISB34|Set 14|13,52|12,61|13,52|12,31|355,50K|7,30%
DISB34|Ago 14|12,60|11,95|12,60|11,95|21,00K|6,24%
DISB34|Jul 14|11,86|11,90|11,90|11,57|19,50K|3,31%
DISB34|Jun 14|11,48|11,72|11,72|11,37|180,00K|-0,69%
DISB34|Mai 14|11,56|10,90|11,56|10,90|121,50K|6,06%
DISB34|Abr 14|10,90|11,36|11,48|10,48|133,50K|-0,55%
DISB34|Mar 14|10,96|11,94|11,94|10,96|151,50K|-6,40%
DISB34|Fev 14|11,71|10,64|11,82|10,49|210,00K|8,33%
DISB34|Jan 14|10,81|11,20|11,28|10,74|567,00K|-0,83%
DISB34|Dez 13|10,90|10,08|10,90|10,03|90,00K|9,44%
DISB34|Nov 13|9,96|9,69|9,96|9,55|70,50K|14,75%
DISB34|Out 13|8,68|8,73|8,75|8,65|163,50K|0,35%
DISB34|Set 13|8,65|8,64|9,12|8,64|526,50K|-0,46%
DISB34|Ago 13|8,69|9,22|9,22|8,69|73,50K|-3,34%
DISB34|Jul 13|8,99|8,59|9,18|7,30|135,00K|4,66%
DISB34|Jun 13|8,59|8,45|8,63|8,37|172,50K|5,79%
DISB34|Mai 13|8,12|7,94|8,26|7,94|135,00K|7,41%
DISB34|Abr 13|7,56|7,11|7,56|7,01|234,00K|8,31%
DISB34|Mar 13|6,98|6,74|7,01|6,74|150,00K|6,73%
DISB34|Fev 13|6,54|6,63|6,67|6,53|85,50K|-2,24%
DISB34|Jan 13|6,69|6,25|6,76|6,25|25,50K|7,38%
DISB34|Dez 12|6,23|6,25|6,36|6,23|28,50K|5,06%
DISB34|Nov 12|5,93|6,15|6,34|5,93|159,00K|21,77%
DISB34|Abr 12|4,87|4,87|4,87|4,87|127,50K|19,36%
DISB34|Jan 12|4,08|4,08|4,08|4,08|127,50K|0,74%
DISB34|Dez 11|4,05|4,05|4,05|4,05|-|8,58%
EGIE3|Fev 22|40,78|40,52|41,35|40,27|1,12M|0,20%
EGIE3|Jan 22|40,70|38,50|40,91|37,08|26,16M|5,96%
EGIE3|Dez 21|38,41|38,56|40,01|38,14|24,71M|-0,31%
EGIE3|Nov 21|38,53|39,42|40,44|38,26|27,11M|-0,98%
EGIE3|Out 21|38,91|37,51|39,80|36,61|30,98M|3,87%
EGIE3|Set 21|37,46|37,74|39,63|37,46|33,37M|-0,24%
EGIE3|Ago 21|37,55|37,30|38,92|35,97|30,89M|-1,00%
EGIE3|Jul 21|37,93|39,15|40,37|37,91|25,61M|-3,12%
EGIE3|Jun 21|39,15|40,02|42,05|38,91|25,62M|-1,61%
EGIE3|Mai 21|39,79|40,10|41,08|38,47|36,83M|-0,31%
EGIE3|Abr 21|39,91|41,11|41,68|39,91|26,94M|-4,58%
EGIE3|Mar 21|41,83|41,26|42,74|38,31|49,18M|1,65%
EGIE3|Fev 21|41,15|43,52|46,60|41,05|30,83M|-4,21%
EGIE3|Jan 21|42,96|43,90|45,68|42,35|28,52M|-2,23%
EGIE3|Dez 20|43,94|41,74|45,19|41,60|35,18M|5,89%
EGIE3|Nov 20|41,50|39,40|44,98|38,68|41,36M|6,14%
EGIE3|Out 20|39,10|39,72|41,46|38,77|29,80M|-1,14%
EGIE3|Set 20|39,55|42,07|44,56|39,03|30,51M|-5,35%
EGIE3|Ago 20|41,78|44,77|45,07|41,18|36,40M|-5,98%
EGIE3|Jul 20|44,44|40,67|45,91|40,62|49,23M|9,69%
EGIE3|Jun 20|40,51|40,26|43,00|39,89|41,58M|-0,75%
EGIE3|Mai 20|40,82|36,35|41,15|34,23|40,55M|8,41%
EGIE3|Abr 20|37,65|36,48|40,12|35,56|39,31M|0,51%
EGIE3|Mar 20|37,46|46,13|48,97|35,45|60,86M|-18,11%
EGIE3|Fev 20|45,75|50,17|51,64|43,29|33,75M|-8,68%
EGIE3|Jan 20|50,10|49,09|52,29|48,71|24,84M|2,46%
EGIE3|Dez 19|48,89|43,81|49,78|43,26|25,58M|12,28%
EGIE3|Nov 19|43,55|42,38|44,23|40,99|26,76M|3,34%
EGIE3|Out 19|42,14|41,44|42,34|39,26|26,35M|1,96%
EGIE3|Set 19|41,33|42,18|42,69|40,32|21,42M|-1,31%
EGIE3|Ago 19|41,88|45,50|46,03|39,45|30,57M|-6,82%
EGIE3|Jul 19|44,94|40,92|46,09|40,10|24,99M|11,04%
EGIE3|Jun 19|40,47|43,12|44,26|38,73|38,88M|-6,15%
EGIE3|Mai 19|43,13|41,33|43,13|37,36|32,22M|4,34%
EGIE3|Abr 19|41,33|40,25|42,32|38,42|23,73M|4,17%
EGIE3|Mar 19|39,68|38,24|40,51|36,61|27,68M|3,77%
EGIE3|Fev 19|38,24|38,92|41,49|38,02|29,47M|-1,65%
EGIE3|Jan 19|38,88|30,98|40,95|30,92|32,53M|26,74%
EGIE3|Dez 18|30,68|31,93|33,88|29,89|27,67M|-2,58%
EGIE3|Nov 18|31,49|28,73|32,29|28,21|29,55M|10,74%
EGIE3|Out 18|28,44|25,41|28,59|25,20|33,74M|12,18%
EGIE3|Set 18|25,35|26,11|26,85|25,19|19,10M|-3,85%
EGIE3|Ago 18|26,36|25,53|26,90|24,83|28,22M|3,56%
EGIE3|Jul 18|25,46|23,29|25,82|23,10|17,65M|9,23%
EGIE3|Jun 18|23,31|25,25|25,85|22,57|26,45M|-7,46%
EGIE3|Mai 18|25,19|25,08|26,60|24,28|29,54M|0,00%
EGIE3|Abr 18|25,19|26,00|26,05|24,60|26,04M|-3,00%
EGIE3|Mar 18|25,97|25,95|26,65|25,12|24,11M|0,03%
EGIE3|Fev 18|25,96|24,34|26,62|23,01|27,11M|8,93%
EGIE3|Jan 18|23,83|23,73|24,70|23,04|21,30M|1,21%
EGIE3|Dez 17|23,55|23,49|23,97|22,78|17,61M|0,23%
EGIE3|Nov 17|23,49|23,52|25,19|22,85|20,01M|0,70%
EGIE3|Out 17|23,33|23,69|24,99|23,14|24,77M|-1,24%
EGIE3|Set 17|23,62|23,47|24,78|23,22|28,44M|0,42%
EGIE3|Ago 17|23,52|22,92|23,89|21,90|23,46M|3,14%
EGIE3|Jul 17|22,81|22,26|23,19|22,00|18,47M|3,18%
EGIE3|Jun 17|22,10|21,62|23,04|21,43|28,04M|2,26%
EGIE3|Mai 17|21,62|21,85|22,44|19,38|29,19M|-0,58%
EGIE3|Abr 17|21,74|22,61|22,99|21,74|15,53M|-3,87%
EGIE3|Mar 17|22,62|23,84|24,05|22,44|23,85M|-4,35%
EGIE3|Fev 17|23,65|23,08|24,39|22,46|20,47M|3,30%
EGIE3|Jan 17|22,89|22,39|23,45|22,00|18,66M|2,29%
EGIE3|Dez 16|22,38|22,80|22,97|21,27|19,78M|-2,37%
EGIE3|Nov 16|22,92|25,48|25,84|22,23|22,28M|-9,98%
EGIE3|Out 16|25,47|24,18|25,88|23,95|23,50M|5,32%
EGIE3|Set 16|24,18|24,55|25,71|24,18|18,21M|-1,28%
EGIE3|Ago 16|24,49|25,89|26,93|24,03|20,14M|-5,42%
EGIE3|Jul 16|25,90|23,61|26,29|23,22|25,27M|10,18%
EGIE3|Jun 16|23,50|21,66|23,77|21,46|21,95M|7,98%
EGIE3|Mai 16|21,77|23,20|23,29|21,63|21,83M|-6,19%
EGIE3|Abr 16|23,20|22,03|23,77|21,37|25,03M|4,01%
EGIE3|Mar 16|22,31|21,58|23,41|21,25|36,71M|3,91%
EGIE3|Fev 16|21,47|20,07|21,76|19,90|23,74M|4,31%
EGIE3|Jan 16|20,58|20,24|20,58|17,90|22,78M|1,05%
EGIE3|Dez 15|20,37|20,21|21,52|19,67|22,44M|0,09%
EGIE3|Nov 15|20,35|20,18|22,50|20,17|24,74M|0,11%
EGIE3|Out 15|20,33|20,40|21,07|19,38|23,17M|0,33%
EGIE3|Set 15|20,26|19,60|21,22|18,75|25,66M|0,66%
EGIE3|Ago 15|20,13|21,34|21,79|18,62|22,03M|-6,18%
EGIE3|Jul 15|21,46|20,30|22,14|19,96|23,91M|6,03%
EGIE3|Jun 15|20,24|20,07|21,05|19,60|18,46M|1,00%
EGIE3|Mai 15|20,04|21,08|22,31|20,02|20,55M|-4,50%
