"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Set 08","1,57","1,97","2,04","1,53","48,14M","-20,71%"
"Ago 08","1,98","1,99","2,04","1,85","64,70M","-0,50%"
"Jul 08","1,99","2,17","2,19","1,91","41,75M","-9,55%"
"Jun 08","2,20","2,36","2,54","2,15","50,83M","-5,58%"
"Mai 08","2,33","2,23","2,43","2,08","97,62M","6,88%"
"Abr 08","2,18","2,17","2,23","1,88","69,93M","1,87%"
"Mar 08","2,14","2,46","2,65","2,07","61,00M","-13,71%"
"Fev 08","2,48","2,31","2,54","2,20","50,83M","8,30%"
"Jan 08","2,29","2,75","2,75","1,97","67,99M","-16,12%"
"Dez 07","2,73","2,64","2,88","2,49","77,23M","4,60%"
"Nov 07","2,61","2,83","3,07","2,43","57,07M","-8,10%"
"Out 07","2,84","2,40","2,90","2,37","57,23M","18,33%"
"Set 07","2,40","2,25","2,40","2,19","29,96M","7,14%"
"Ago 07","2,24","2,23","2,46","1,86","70,30M","-0,88%"
"Jul 07","2,26","1,95","2,43","1,94","89,61M","15,31%"
"Jun 07","1,96","1,78","1,96","1,70","76,69M","3,70%"
"Mai 07","1,89","1,89","2,15","1,88","29,13K","0,00%"
"Abr 07","1,89","1,94","1,94","1,56","26,01K","-2,58%"
"Mar 07","1,94","2,15","2,15","1,94","8,45K","6,01%"
"Fev 07","1,83","1,94","1,94","1,83","29,65K","-31,97%"
"Jan 07","2,69","1,51","2,69","1,51","12,74K","92,14%"
"Dez 06","1,40","1,29","1,40","1,29","60,89K","12,00%"
"Nov 06","1,25","1,24","1,25","1,21","14,20K","5,04%"
"Out 06","1,19","1,13","1,19","1,13","14,87K","22,68%"
"Set 06","0,97","0,97","0,97","0,97","16,44K","0,00%"
"Ago 06","0,97","0,96","0,99","0,95","183,89K","-10,19%"
"Jul 06","1,08","0,98","1,08","0,98","3,65K","25,58%"
"Jun 06","0,86","0,86","0,86","0,86","6,46K","0,00%"
"Mai 06","0,86","0,86","0,86","0,86","5,41K","-2,27%"
"Abr 06","0,88","0,88","0,88","0,88","16,46K","0,00%"
"Mar 06","0,88","0,88","0,88","0,88","8,11K","8,64%"
"Jun 05","0,81","0,92","0,92","0,81","1,56K","-3,57%"
"Fev 05","0,84","0,87","0,87","0,84","0,02K","2,44%"
"Nov 04","0,82","0,82","0,82","0,82","-","0,00%"
"Out 04","0,82","0,82","0,82","0,82","0,01K","10,81%"
"Set 04","0,74","0,74","0,74","0,74","0,01K","1,37%"
"Jul 04","0,73","0,73","0,73","0,73","0,01K","0,00%"
"Jun 04","0,73","0,73","0,73","0,73","0,25K","30,36%"
"Mar 04","0,56","0,56","0,56","0,56","0,02K","0,00%"
"Jan 04","0,56","0,56","0,56","0,56","0,05K","3,70%"
"Dez 03","0,54","0,48","0,54","0,48","0,02K","28,57%"
"Set 03","0,42","0,42","0,42","0,42","0,01K","31,25%"
"Mai 03","0,32","0,31","0,32","0,31","0,05K","10,34%"
"Abr 03","0,29","0,29","0,29","0,29","0,08K","3,57%"
"Jan 03","0,28","0,28","0,28","0,28","0,01K","12,00%"
"Nov 02","0,25","0,25","0,25","0,25","0,01K","19,05%"
"Out 02","0,21","0,21","0,21","0,21","0,01K","0,00%"
"Ago 02","0,21","0,21","0,21","0,21","0,06K","-4,55%"
"Jun 02","0,22","0,22","0,22","0,22","0,01K","-4,35%"
"Mai 02","0,23","0,23","0,23","0,23","0,02K","-4,17%"
"Abr 02","0,24","0,22","0,24","0,22","0,02K","14,29%"
"Nov 01","0,21","0,21","0,21","0,21","0,03K","16,67%"
"Out 01","0,18","0,18","0,18","0,18","0,03K","-5,26%"
"Ago 01","0,19","0,19","0,19","0,19","0,01K","18,75%"
"Mai 01","0,16","0,16","0,16","0,16","0,01K","-5,88%"
"Abr 01","0,17","0,17","0,17","0,17","0,01K","13,33%"
"Mar 01","0,15","0,15","0,15","0,15","0,01K","15,38%"
"Set 00","0,13","0,13","0,13","0,13","0,01K","8,33%"
"Ago 00","0,12","0,12","0,12","0,12","0,01K","20,00%"
"Mai 00","0,10","0,10","0,10","0,10","0,06K","-9,09%"
"Fev 00","0,11","0,11","0,11","0,11","0,02K","22,22%"
"Jul 99","0,09","0,09","0,09","0,09","0,05K","12,50%"
"Jun 99","0,08","0,08","0,08","0,08","0,04K","0,00%"
"Mai 99","0,08","0,08","0,08","0,08","0,32K","0,00%"
"Mar 99","0,08","0,08","0,08","0,08","0,02K","33,33%"
"Dez 98","0,06","0,06","0,06","0,06","0,03K","0,00%"
"Nov 98","0,06","0,06","0,06","0,06","0,03K","0,00%"
"Set 98","0,06","0,06","0,06","0,06","0,01K","-25,00%"
"Jul 98","0,08","0,08","0,08","0,08","0,10K","0,00%"
