"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Jun 14","12,69","12,83","13,29","12,43","192,00M","-0,63%"
"Mai 14","12,77","13,04","13,71","12,77","226,11M","-2,70%"
"Abr 14","13,13","13,51","14,36","13,03","231,32M","-3,10%"
"Mar 14","13,54","13,42","13,70","13,00","185,89M","0,41%"
"Fev 14","13,49","12,73","13,61","12,11","174,32M","4,91%"
"Jan 14","12,86","13,62","13,83","12,39","223,76M","-5,71%"
"Dez 13","13,64","13,70","13,96","12,77","157,71M","-1,37%"
"Nov 13","13,83","13,15","14,01","12,87","114,69M","5,21%"
"Out 13","13,14","13,48","13,77","12,95","5,24M","-1,45%"
"Set 13","13,33","13,14","13,85","12,51","5,94M","1,98%"
"Ago 13","13,08","13,41","13,83","12,47","7,21M","-2,69%"
"Jul 13","13,44","12,79","13,46","12,41","3,89M","4,13%"
"Jun 13","12,90","12,81","12,97","11,66","4,83M","0,65%"
"Mai 13","12,82","12,78","13,59","12,46","4,91M","0,31%"
"Abr 13","12,78","12,95","13,03","11,80","6,22M","-1,06%"
"Mar 13","12,92","13,63","14,06","12,71","5,29M","-5,28%"
"Fev 13","13,64","13,96","14,11","13,17","5,25M","-2,30%"
"Jan 13","13,96","13,08","14,18","13,00","7,00M","7,56%"
"Dez 12","12,98","11,89","13,46","11,75","10,41M","8,92%"
"Nov 12","11,92","10,48","11,92","10,28","26,65M","13,76%"
"Out 12","10,48","9,89","10,80","9,85","4,33M","7,12%"
"Set 12","9,78","9,66","9,89","9,36","5,34M","0,82%"
"Ago 12","9,70","9,73","9,89","9,12","4,84M","-0,82%"
"Jul 12","9,78","9,57","9,87","9,02","3,08M","1,80%"
"Jun 12","9,61","9,27","9,68","8,75","11,94M","1,53%"
"Mai 12","9,46","10,02","10,23","9,16","4,77M","-7,15%"
"Abr 12","10,19","9,52","10,46","9,30","3,85M","7,11%"
"Mar 12","9,51","8,73","10,12","8,57","4,31M","9,82%"
"Fev 12","8,66","7,69","8,66","7,65","5,15M","11,77%"
"Jan 12","7,75","8,12","8,19","7,55","3,98M","-4,76%"
"Dez 11","8,14","7,35","8,14","7,34","3,42M","10,08%"
"Nov 11","7,39","6,81","7,45","6,81","3,58M","6,99%"
"Out 11","6,91","6,68","7,15","6,58","4,43M","2,41%"
"Set 11","6,75","6,67","6,95","6,27","6,56M","1,08%"
"Ago 11","6,68","5,63","6,69","5,35","4,68M","18,46%"
"Jul 11","5,64","6,26","6,46","5,56","2,14M","-9,86%"
"Jun 11","6,25","5,90","6,32","5,74","2,88M","4,57%"
"Mai 11","5,98","6,11","6,47","5,89","1,88M","-2,47%"
"Abr 11","6,13","5,62","6,15","5,55","1,90M","8,71%"
"Mar 11","5,64","5,37","5,73","5,28","5,50M","5,11%"
"Fev 11","5,36","5,37","5,66","5,09","2,28M","-1,37%"
"Jan 11","5,44","6,19","6,30","5,33","2,15M","-12,51%"
"Dez 10","6,22","5,73","6,23","5,61","2,67M","4,66%"
"Nov 10","5,94","5,77","6,26","5,70","2,76M","2,95%"
"Out 10","5,77","5,24","6,10","5,22","4,09M","11,82%"
"Set 10","5,16","4,91","5,30","4,82","3,31M","5,31%"
"Ago 10","4,90","4,80","4,92","4,55","4,32M","2,30%"
"Jul 10","4,79","4,60","4,87","4,45","3,54M","4,59%"
"Jun 10","4,58","4,34","4,84","4,26","8,10M","6,02%"
"Mai 10","4,32","4,33","4,46","4,11","4,08M","0,00%"
