"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Jun 14","15,66","15,29","17,28","14,87","192,69M","3,18%"
"Mai 14","15,18","15,02","16,99","14,94","214,18M","0,70%"
"Abr 14","15,07","13,95","15,84","13,70","263,98M","8,08%"
"Mar 14","13,95","12,24","14,08","11,20","282,09M","15,17%"
"Fev 14","12,11","12,74","13,21","11,88","174,16M","-5,66%"
"Jan 14","12,84","14,97","15,06","12,57","207,14M","-13,88%"
"Dez 13","14,91","15,74","15,92","14,51","187,93M","-12,72%"
"Nov 13","17,08","17,99","18,97","16,50","182,47M","-6,24%"
"Out 13","18,22","15,99","18,35","15,42","228,85M","15,21%"
"Set 13","15,81","15,27","16,99","14,66","216,80M","6,20%"
"Ago 13","14,89","14,69","16,51","14,18","224,57M","3,84%"
"Jul 13","14,34","13,84","15,26","12,58","240,85M","3,85%"
"Jun 13","13,81","17,76","17,91","13,47","225,12M","-21,93%"
"Mai 13","17,68","17,71","18,45","17,08","151,62M","-1,09%"
"Abr 13","17,88","15,32","17,93","14,04","220,07M","15,53%"
"Mar 13","15,48","13,24","16,36","13,00","241,04M","16,29%"
"Fev 13","13,31","16,76","17,24","13,29","243,30M","-20,52%"
"Jan 13","16,74","18,43","19,23","16,56","160,55M","-6,75%"
"Dez 12","17,96","17,64","19,54","17,42","164,13M","2,36%"
"Nov 12","17,54","19,78","20,67","17,30","130,70M","-11,16%"
"Out 12","19,75","21,39","22,02","19,71","100,11M","-7,73%"
"Set 12","21,40","19,67","22,94","19,21","136,16M","9,39%"
"Ago 12","19,56","18,50","21,04","17,88","152,16M","6,23%"
"Jul 12","18,42","17,18","19,29","17,03","114,67M","6,08%"
"Jun 12","17,36","17,72","19,27","16,58","147,34M","-4,55%"
"Mai 12","18,19","20,44","21,21","17,37","145,53M","-10,69%"
"Abr 12","20,36","22,19","22,38","19,75","93,31M","-7,86%"
"Mar 12","22,10","23,49","24,08","21,62","128,04M","-5,00%"
"Fev 12","23,26","24,55","25,40","21,97","135,20M","-4,50%"
"Jan 12","24,36","20,76","25,58","20,41","130,71M","18,02%"
"Dez 11","20,64","21,81","22,92","20,10","113,46M","-4,64%"
"Nov 11","21,64","19,66","22,11","19,66","98,40M","5,39%"
"Out 11","20,54","18,47","21,06","17,30","121,24M","10,43%"
"Set 11","18,60","20,63","20,90","18,42","100,09M","-8,93%"
"Ago 11","20,42","23,23","23,35","17,80","180,02M","-11,21%"
"Jul 11","23,00","23,09","23,46","21,90","90,32M","-0,76%"
"Jun 11","23,18","23,69","23,79","22,17","106,38M","-2,16%"
"Mai 11","23,69","25,33","25,43","23,18","98,93M","-6,44%"
"Abr 11","25,32","28,52","28,97","24,77","94,23M","-11,05%"
"Mar 11","28,46","28,23","29,25","27,29","106,11M","0,59%"
"Fev 11","28,30","26,21","29,44","25,25","134,21M","8,49%"
"Jan 11","26,08","26,67","27,57","25,14","115,08M","-1,64%"
"Dez 10","26,52","23,93","26,67","23,69","87,38M","9,85%"
"Nov 10","24,14","25,28","26,96","23,86","91,64M","-3,67%"
"Out 10","25,06","26,87","27,13","23,13","182,45M","-6,11%"
"Set 10","26,69","26,16","29,27","25,50","205,44M","2,73%"
"Ago 10","25,98","28,26","29,87","25,33","83,87M","-7,05%"
"Jul 10","27,95","27,05","28,14","26,17","54,74M","3,37%"
