"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Jun 14","7,72","7,79","8,15","7,54","23,33M","0,17%"
"Mai 14","7,71","7,26","8,03","7,26","29,17M","6,15%"
"Abr 14","7,26","7,14","7,62","7,01","26,20M","1,50%"
"Mar 14","7,15","6,82","7,31","6,69","26,32M","5,44%"
"Fev 14","6,78","7,12","7,22","6,74","31,04M","-4,78%"
"Jan 14","7,12","7,78","7,90","6,80","26,16M","-8,44%"
"Dez 13","7,78","7,47","8,13","7,31","20,43M","3,61%"
"Nov 13","7,51","7,34","7,71","7,07","24,08M","2,59%"
"Out 13","7,32","7,60","8,14","6,92","65,47M","-3,97%"
"Set 13","7,62","6,93","7,72","6,89","35,08M","10,44%"
"Ago 13","6,90","7,42","7,44","6,89","42,92M","-5,78%"
"Jul 13","7,32","7,16","7,67","6,88","36,43M","2,24%"
"Jun 13","7,16","7,71","8,17","6,61","38,47M","-8,29%"
"Mai 13","7,81","8,05","8,15","7,32","31,57M","0,00%"
"Abr 13","7,82","7,06","8,08","6,88","35,59M","10,65%"
"Mar 13","7,06","6,97","7,35","6,49","47,97M","1,16%"
"Fev 13","6,98","7,73","7,90","6,89","51,71M","-9,75%"
"Jan 13","7,74","8,23","8,65","7,36","42,99M","-5,41%"
"Dez 12","8,18","8,25","8,61","8,00","20,32M","-0,65%"
"Nov 12","8,23","8,01","8,69","8,01","20,25M","2,86%"
"Out 12","8,00","8,56","8,70","7,71","45,17M","-6,92%"
"Set 12","8,60","8,27","9,38","8,12","23,10M","3,18%"
"Ago 12","8,33","7,51","8,33","7,33","26,90M","10,55%"
"Jul 12","7,54","7,70","8,21","7,16","22,77M","-1,72%"
"Jun 12","7,67","8,05","8,44","7,43","24,24M","-5,56%"
"Mai 12","8,12","7,69","8,72","7,33","32,20M","6,19%"
"Abr 12","7,65","7,45","7,80","7,10","27,58M","3,26%"
"Mar 12","7,41","7,10","7,64","6,81","34,87M","3,68%"
"Fev 12","7,14","6,96","7,27","6,72","28,91M","2,40%"
"Jan 12","6,98","6,28","7,04","6,25","24,33M","9,77%"
"Dez 11","6,36","6,07","6,38","5,83","18,68M","6,37%"
"Nov 11","5,97","6,31","6,54","5,50","38,53M","-7,11%"
