"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Jun 14","11,36","11,71","12,66","11,32","24,64M","-2,71%"
"Mai 14","11,68","10,90","11,95","10,81","37,24M","7,28%"
"Abr 14","10,89","10,65","11,21","10,06","27,37M","2,28%"
"Mar 14","10,65","9,47","10,67","9,21","43,88M","12,50%"
"Fev 14","9,46","9,11","9,84","9,02","41,04M","2,05%"
"Jan 14","9,27","10,82","10,82","9,10","47,66M","-14,20%"
"Dez 13","10,81","10,70","11,00","10,31","21,64M","0,61%"
"Nov 13","10,74","11,05","11,05","10,13","29,24M","-2,98%"
"Out 13","11,07","10,95","11,07","10,32","22,78M","1,31%"
"Set 13","10,93","10,93","11,19","10,39","27,98M","0,24%"
"Ago 13","10,90","10,63","11,03","10,10","33,04M","4,27%"
"Jul 13","10,46","10,14","10,69","9,68","32,77M","2,89%"
"Jun 13","10,16","10,97","11,09","9,03","61,05M","-7,31%"
"Mai 13","10,97","10,90","11,60","10,20","41,39M","-0,13%"
"Abr 13","10,98","11,99","12,16","10,90","22,90M","-8,78%"
"Mar 13","12,04","12,56","12,87","11,27","24,53M","-4,22%"
"Fev 13","12,57","12,46","12,72","12,09","22,58M","0,88%"
"Jan 13","12,46","11,79","12,84","11,34","25,99M","7,38%"
"Dez 12","11,60","11,28","12,10","11,23","24,31M","1,63%"
"Nov 12","11,42","11,75","11,94","10,78","30,12M","-3,17%"
"Out 12","11,79","12,04","12,53","11,22","23,91M","-1,92%"
"Set 12","12,02","11,16","12,08","10,95","19,72M","6,74%"
"Ago 12","11,26","10,89","11,41","10,61","21,57M","4,37%"
"Jul 12","10,79","10,97","11,81","10,55","26,94M","-2,33%"
"Jun 12","11,05","10,25","11,34","9,73","20,77M","6,03%"
"Mai 12","10,42","10,61","10,96","9,45","23,85M","-1,75%"
"Abr 12","10,61","9,67","10,70","8,88","27,06M","10,24%"
"Mar 12","9,62","8,99","9,79","8,61","26,86M","7,02%"
"Fev 12","8,99","8,57","9,26","8,45","29,14M","6,13%"
"Jan 12","8,47","9,34","9,66","8,38","32,77M","-9,68%"
"Dez 11","9,38","9,05","9,66","8,71","29,14M","2,72%"
"Nov 11","9,13","7,91","9,13","7,81","30,84M","14,39%"
