"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Jun 14","11,48","11,72","11,72","11,37","180,00K","-0,69%"
"Mai 14","11,56","10,90","11,56","10,90","121,50K","6,06%"
"Abr 14","10,90","11,36","11,48","10,48","133,50K","-0,55%"
"Mar 14","10,96","11,94","11,94","10,96","151,50K","-6,40%"
"Fev 14","11,71","10,64","11,82","10,49","210,00K","8,33%"
"Jan 14","10,81","11,20","11,28","10,74","567,00K","-0,83%"
"Dez 13","10,90","10,08","10,90","10,03","90,00K","9,44%"
"Nov 13","9,96","9,69","9,96","9,55","70,50K","14,75%"
"Out 13","8,68","8,73","8,75","8,65","163,50K","0,35%"
"Set 13","8,65","8,64","9,12","8,64","526,50K","-0,46%"
"Ago 13","8,69","9,22","9,22","8,69","73,50K","-3,34%"
"Jul 13","8,99","8,59","9,18","7,30","135,00K","4,66%"
"Jun 13","8,59","8,45","8,63","8,37","172,50K","5,79%"
"Mai 13","8,12","7,94","8,26","7,94","135,00K","7,41%"
"Abr 13","7,56","7,11","7,56","7,01","234,00K","8,31%"
"Mar 13","6,98","6,74","7,01","6,74","150,00K","6,73%"
"Fev 13","6,54","6,63","6,67","6,53","85,50K","-2,24%"
"Jan 13","6,69","6,25","6,76","6,25","25,50K","7,38%"
"Dez 12","6,23","6,25","6,36","6,23","28,50K","5,06%"
"Nov 12","5,93","6,15","6,34","5,93","159,00K","21,77%"
"Abr 12","4,87","4,87","4,87","4,87","127,50K","19,36%"
"Jan 12","4,08","4,08","4,08","4,08","127,50K","0,74%"
"Dez 11","4,05","4,05","4,05","4,05","-","8,58%"
