"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 00","1,34","1,34","1,38","1,27","15,28K","6,35%"
"Jan 00","1,26","1,09","1,27","1,09","14,65K","5,00%"
"Dez 99","1,20","1,20","1,20","1,20","38,39K","7,14%"
"Nov 99","1,12","1,09","1,12","1,09","8,30K","14,29%"
"Out 99","0,98","0,94","0,98","0,94","11,05K","4,26%"
"Set 99","0,94","0,80","0,94","0,80","13,39K","28,77%"
"Ago 99","0,73","0,69","0,73","0,65","44,62K","12,31%"
"Jul 99","0,65","0,65","0,65","0,65","8,86K","12,07%"
"Jun 99","0,58","0,58","0,62","0,54","95,29K","0,00%"
"Mai 99","0,58","0,65","0,65","0,58","10,78K","0,00%"
"Abr 99","0,58","0,44","0,58","0,44","14,67K","41,46%"
"Mar 99","0,41","0,39","0,41","0,39","24,73K","24,24%"
"Jan 99","0,33","0,33","0,33","0,33","5,45K","-13,16%"
"Dez 98","0,38","0,38","0,38","0,38","1,80K","15,15%"
"Out 98","0,33","0,29","0,33","0,29","18,34K","-8,33%"
"Set 98","0,36","0,36","0,36","0,36","24,98K","0,00%"
"Ago 98","0,36","0,40","0,40","0,36","8,05K","-10,00%"
"Jul 98","0,40","0,40","0,40","0,40","19,06K","-9,09%"
"Jun 98","0,44","0,44","0,44","0,44","10,57K","0,00%"
"Mai 98","0,44","0,44","0,44","0,44","7,34K","0,00%"
"Mar 98","0,44","0,51","0,51","0,44","32,80K","-29,03%"
"Dez 97","0,62","0,62","0,62","0,62","2,84K","10,71%"
"Out 97","0,56","0,56","0,56","0,56","3,64K","9,80%"
"Set 97","0,51","0,45","0,51","0,45","11,39K","13,33%"
"Ago 97","0,45","0,44","0,46","0,44","5,65K","-11,76%"
"Jul 97","0,51","0,47","0,51","0,47","5,78K","0,00%"
"Jun 97","0,51","0,37","0,51","0,37","58,21K","37,84%"
"Mai 97","0,37","0,33","0,37","0,33","143,93K","12,12%"
"Abr 97","0,33","0,33","0,33","0,32","71,14K","3,13%"
"Mar 97","0,32","0,33","0,33","0,29","93,35K","0,00%"
"Fev 97","0,32","0,31","0,32","0,29","17,60K","28,00%"
"Jan 97","0,25","0,33","0,33","0,25","0,56K","-16,67%"
"Dez 96","0,30","0,27","0,30","0,24","5,24K","11,11%"
"Nov 96","0,27","0,27","0,29","0,27","9,32K","42,11%"
"Out 96","0,19","0,19","0,19","0,19","13,07M","0,00%"
"Set 96","0,19","0,19","0,19","0,19","0,86K","5,56%"
"Ago 96","0,18","0,20","0,20","0,18","1,62K","-10,00%"
"Jul 96","0,20","0,20","0,20","0,20","1,55K","-4,76%"
"Mai 96","0,21","0,23","0,24","0,18","6,28K","5,00%"
"Abr 96","0,20","0,20","0,20","0,20","6,55K","0,00%"
"Mar 96","0,20","0,20","0,20","0,20","4,82K","5,26%"
"Fev 96","0,19","0,19","0,19","0,19","1,86K","0,00%"
"Dez 95","0,19","0,19","0,19","0,19","16,64K","-5,00%"
"Nov 95","0,20","0,24","0,24","0,20","3,25K","-25,93%"
"Out 95","0,27","0,27","0,27","0,27","22,02K","-3,57%"
"Set 95","0,28","0,28","0,28","0,25","16,79K","0,00%"
"Ago 95","0,28","0,32","0,32","0,28","12,67K","-12,50%"
"Jul 95","0,32","0,28","0,32","0,28","12,01K","-21,95%"
"Mai 95","0,41","0,38","0,41","0,38","5,40K","5,13%"
"Abr 95","0,39","0,34","0,39","0,34","3,61K","-2,50%"
"Mar 95","0,40","0,36","0,40","0,36","0,78K","-2,44%"
"Fev 95","0,41","0,48","0,48","0,41","12,59K","20,59%"
"Jan 95","0,34","0,34","0,35","0,30","3,43K","21,43%"
"Dez 94","0,28","0,28","0,28","0,28","0,35K","-3,45%"
"Nov 94","0,29","0,30","0,30","0,29","2,13K","20,83%"
"Out 94","0,24","0,30","0,34","0,24","12,63K","-25,00%"
"Set 94","0,32","0,26","0,32","0,26","9,06K","14,29%"
"Ago 94","0,28","0,19","0,28","0,19","60,56K","47,37%"
"Jul 94","0,19","0,28","0,28","0,19","14,59K","18,75%"
"Jun 94","0,16","0,16","0,16","0,16","102,78K","700,00%"
"Out 93","0,02","0,02","0,02","0,02","0,27K","100,00%"
"Set 93","0,01","0,01","0,01","0,00","0,87K","0,00%"
"Ago 93","0,00","0,00","0,00","0,00","0,32K","0,00%"
"Jul 93","0,00","0,00","0,00","0,00","0,91K","0,00%"
"Jun 93","0,00","0,00","0,00","0,00","2,55K","0,00%"
"Mai 93","0,00","0,00","0,00","0,00","0,14K","0,00%"
"Abr 93","0,00","0,00","0,00","0,00","0,55K","0,00%"
"Mar 93","0,00","0,00","0,00","0,00","1,37K","0,00%"
"Fev 93","0,00","0,00","0,00","0,00","0,23K","0,00%"
"Dez 92","0,00","0,00","0,00","0,00","0,59K","0,00%"
