"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Jun 14","26,10","23,46","26,10","22,64","1,78M","11,28%"
"Mai 14","23,46","20,76","24,79","20,57","2,76M","14,23%"
"Abr 14","20,53","22,61","23,67","19,40","6,65M","-8,37%"
"Mar 14","22,41","22,18","22,66","19,56","3,51M","-0,54%"
"Fev 14","22,53","20,92","22,81","20,34","5,06M","6,35%"
"Jan 14","21,19","24,20","25,82","19,75","7,50M","-12,61%"
"Dez 13","24,24","23,44","25,30","23,22","5,25M","3,00%"
"Nov 13","23,54","27,27","27,27","23,38","7,79M","-13,43%"
"Out 13","27,19","31,63","31,67","26,71","4,63M","-14,52%"
"Set 13","31,81","26,95","32,08","26,95","3,68M","18,04%"
"Ago 13","26,95","29,01","31,64","26,62","5,06M","-6,69%"
"Jul 13","28,88","27,00","30,41","24,84","5,05M","5,61%"
"Jun 13","27,35","30,21","30,81","24,76","8,34M","-9,49%"
"Mai 13","30,22","35,44","35,44","29,52","5,56M","-16,22%"
"Abr 13","36,06","33,02","36,06","29,66","3,68M","10,59%"
"Mar 13","32,61","31,67","33,98","30,56","4,81M","1,73%"
"Fev 13","32,06","30,05","32,68","28,61","6,34M","6,67%"
"Jan 13","30,05","32,15","32,80","28,91","5,23M","-4,90%"
"Dez 12","31,60","29,41","32,90","28,92","4,80M","6,89%"
"Nov 12","29,56","28,88","32,07","28,42","2,50M","2,07%"
"Out 12","28,96","29,32","30,35","27,42","3,56M","-0,85%"
"Set 12","29,21","27,10","29,21","25,57","3,81M","7,62%"
"Ago 12","27,14","26,25","28,75","25,26","3,10M","5,60%"
"Jul 12","25,70","23,73","27,31","22,72","3,67M","8,32%"
"Jun 12","23,73","22,98","24,04","21,43","3,15M","1,36%"
"Mai 12","23,41","23,79","23,79","19,44","5,08M","-1,67%"
"Abr 12","23,81","25,55","26,92","22,92","2,69M","-5,29%"
"Mar 12","25,14","25,35","27,26","22,85","20,28M","-0,75%"
"Fev 12","25,33","22,94","26,28","22,57","3,10M","9,40%"
"Jan 12","23,15","18,46","23,36","18,43","2,04M","26,62%"
"Dez 11","18,29","18,91","19,40","17,22","1,33M","-3,33%"
"Nov 11","18,92","17,77","19,47","16,91","995,28K","5,73%"
"Out 11","17,89","14,98","18,87","14,27","2,23M","19,47%"
"Set 11","14,98","16,95","19,07","14,98","3,97M","-13,64%"
"Ago 11","17,34","16,99","17,69","13,41","3,14M","-0,95%"
"Jul 11","17,51","16,89","19,46","16,24","1,90M","2,09%"
"Jun 11","17,15","19,85","20,01","16,40","3,00M","-15,93%"
"Mai 11","20,39","18,99","20,60","18,99","3,48M","6,56%"
"Abr 11","19,14","18,12","20,17","17,26","2,24M","7,21%"
"Mar 11","17,85","16,49","18,83","16,32","2,56M","6,31%"
