"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Jun 14","6,54","6,68","6,70","6,37","7,97M","-1,87%"
"Mai 14","6,67","5,83","6,67","5,82","19,65M","14,44%"
"Abr 14","5,83","7,19","7,20","5,56","16,99M","-19,11%"
"Mar 14","7,20","7,59","7,59","6,92","12,62M","-3,60%"
"Fev 14","7,47","6,89","7,47","6,58","17,59M","8,40%"
"Jan 14","6,89","6,88","7,22","6,73","15,65M","0,27%"
"Dez 13","6,88","7,24","7,46","6,81","10,24M","-5,27%"
"Nov 13","7,26","6,42","7,62","6,21","16,08M","13,46%"
"Out 13","6,40","6,72","6,89","6,11","20,05M","-5,45%"
"Set 13","6,77","6,82","7,04","6,51","14,43M","-0,54%"
"Ago 13","6,80","7,03","7,16","6,66","15,11M","-3,47%"
"Jul 13","7,05","6,68","7,11","6,55","21,24M","6,59%"
"Jun 13","6,61","7,31","7,42","6,48","17,77M","-9,09%"
"Mai 13","7,27","7,08","7,61","6,86","14,43M","4,82%"
"Abr 13","6,94","6,91","7,27","6,57","25,93M","0,00%"
"Mar 13","6,94","7,92","7,92","6,84","19,23M","-13,18%"
"Fev 13","7,99","8,08","8,19","7,78","10,45M","-1,12%"
"Jan 13","8,08","8,36","8,36","7,96","11,78M","-3,47%"
"Dez 12","8,37","8,46","8,82","7,91","13,93M","0,66%"
"Nov 12","8,32","8,56","8,82","8,03","7,11M","-3,73%"
"Out 12","8,64","8,79","9,43","8,14","7,65M","-1,48%"
"Set 12","8,77","7,87","8,77","7,85","5,84M","9,98%"
"Ago 12","7,97","7,78","8,31","7,71","7,65M","3,59%"
"Jul 12","7,70","9,09","9,77","7,64","20,86M","-16,04%"
"Jun 12","9,17","8,56","9,34","8,34","4,58M","5,63%"
"Mai 12","8,68","8,81","9,38","8,56","7,65M","-1,71%"
"Abr 12","8,83","8,79","8,99","8,40","7,51M","1,91%"
"Mar 12","8,67","8,70","9,38","8,56","12,98M","-1,59%"
"Fev 12","8,81","8,13","8,88","7,66","10,08M","7,18%"
"Jan 12","8,22","7,83","8,27","7,67","6,57M","6,78%"
"Dez 11","7,69","7,39","7,96","7,39","7,39M","4,19%"
"Nov 11","7,39","7,65","8,17","7,33","11,93M","-4,85%"
"Out 11","7,76","7,89","8,03","7,26","7,38M","-3,52%"
"Set 11","8,04","8,16","8,46","7,40","8,87M","-2,43%"
"Ago 11","8,25","7,75","8,25","6,41","12,93M","8,73%"
"Jul 11","7,58","8,14","8,51","7,48","6,91M","-6,29%"
"Jun 11","8,09","9,18","9,26","7,93","5,14M","-12,58%"
"Mai 11","9,26","8,37","9,50","8,24","5,60M","10,87%"
"Abr 11","8,35","8,79","8,83","7,63","8,19M","-3,30%"
