"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Jun 14","18,50","18,66","20,08","18,40","16,77M","-0,60%"
"Mai 14","18,61","18,58","19,55","18,28","19,18M","0,12%"
"Abr 14","18,59","19,85","20,37","17,66","21,02M","-5,53%"
"Mar 14","19,68","18,58","20,31","17,31","22,33M","5,72%"
"Fev 14","18,61","19,31","19,95","18,02","24,37M","-3,77%"
"Jan 14","19,34","20,16","21,58","18,80","21,85M","-4,01%"
"Dez 13","20,15","21,42","21,94","20,09","13,26M","-6,01%"
"Nov 13","21,44","21,34","22,84","20,81","13,68M","1,36%"
"Out 13","21,15","20,46","21,41","20,01","11,75M","4,01%"
"Set 13","20,33","18,99","21,17","18,86","15,08M","7,11%"
"Ago 13","18,99","19,50","20,08","18,61","15,22M","-2,83%"
"Jul 13","19,54","18,72","19,67","18,09","14,61M","4,99%"
"Jun 13","18,61","19,84","20,02","16,96","22,55M","-6,17%"
"Mai 13","19,83","19,32","20,60","18,82","19,13M","3,65%"
"Abr 13","19,14","18,73","19,90","18,18","16,96M","2,62%"
"Mar 13","18,65","18,68","19,18","17,60","18,22M","-0,74%"
"Fev 13","18,79","18,50","18,83","17,65","15,88M","1,50%"
"Jan 13","18,51","17,53","19,38","16,48","22,55M","6,12%"
"Dez 12","17,44","18,22","18,22","17,16","13,91M","-4,30%"
"Nov 12","18,23","18,17","18,98","16,78","14,06M","0,81%"
"Out 12","18,08","16,64","18,34","16,28","19,13M","9,38%"
"Set 12","16,53","17,54","18,16","15,09","19,65M","-5,21%"
"Ago 12","17,44","18,41","18,67","17,27","13,13M","-4,88%"
"Jul 12","18,33","18,69","18,89","17,44","19,65M","-1,62%"
"Jun 12","18,64","16,77","19,07","16,55","17,52M","11,06%"
"Mai 12","16,78","16,48","17,86","16,09","24,91M","1,83%"
"Abr 12","16,48","16,10","16,80","15,37","14,69M","2,86%"
"Mar 12","16,02","14,87","16,34","14,84","21,05M","7,70%"
"Fev 12","14,87","14,91","15,12","14,20","21,43M","0,13%"
"Jan 12","14,85","14,69","15,61","14,37","14,78M","1,27%"
"Dez 11","14,67","13,88","15,25","13,49","13,79M","6,17%"
"Nov 11","13,82","13,05","14,05","12,97","11,92M","4,05%"
"Out 11","13,28","12,59","13,53","12,12","12,56M","5,36%"
"Set 11","12,60","12,28","13,47","12,22","14,88M","3,16%"
"Ago 11","12,22","12,27","12,47","11,13","21,28M","0,79%"
"Jul 11","12,12","12,78","12,83","11,82","14,08M","-4,98%"
"Jun 11","12,76","12,40","12,77","11,81","13,77M","2,80%"
"Mai 11","12,41","12,85","13,10","12,36","11,67M","-2,08%"
"Abr 11","12,67","12,70","13,19","12,58","9,75M","-0,14%"
"Mar 11","12,69","12,02","13,10","11,51","15,29M","6,15%"
"Fev 11","11,95","11,99","12,30","11,27","15,51M","0,78%"
"Jan 11","11,86","12,67","12,82","11,77","12,89M","-6,01%"
"Dez 10","12,62","12,61","13,04","12,09","14,26M","1,37%"
"Nov 10","12,45","11,76","12,72","11,25","17,69M","-1,41%"
"Out 10","12,63","12,13","13,30","11,86","19,19M","4,12%"
"Set 10","12,13","11,09","12,41","10,87","14,99M","8,98%"
"Ago 10","11,13","11,09","11,82","10,76","10,86M","1,64%"
"Jul 10","10,95","10,16","11,23","9,94","12,74M","7,88%"
"Jun 10","10,15","9,73","10,30","9,38","12,43M","2,63%"
"Mai 10","9,89","10,71","10,71","9,45","12,19M","-6,26%"
"Abr 10","10,55","9,56","10,76","9,44","16,95M","10,82%"
"Mar 10","9,52","9,79","9,90","9,37","18,85M","-3,45%"
"Fev 10","9,86","9,68","10,03","9,13","20,41M","2,28%"
"Jan 10","9,64","10,24","10,41","9,55","18,05M","-5,95%"
"Dez 09","10,25","10,24","10,69","9,88","23,16M","2,50%"
"Nov 09","10,00","9,82","10,59","9,82","16,08M","1,83%"
"Out 09","9,82","9,82","10,79","9,82","13,24M","0,10%"
"Set 09","9,81","9,30","10,36","9,04","13,46M","4,70%"
"Ago 09","9,37","8,83","9,37","8,71","15,84M","6,48%"
"Jul 09","8,80","8,64","9,20","8,60","16,18M","1,50%"
"Jun 09","8,67","8,46","8,69","8,06","24,61M","3,34%"
"Mai 09","8,39","8,32","9,05","8,12","23,65M","1,45%"
"Abr 09","8,27","7,84","8,63","7,81","19,13M","5,08%"
"Mar 09","7,87","8,07","8,23","7,78","21,30M","-3,32%"
"Fev 09","8,14","8,28","8,37","7,87","14,14M","-0,73%"
"Jan 09","8,20","8,44","8,91","8,14","18,07M","-3,30%"
"Dez 08","8,48","8,73","9,54","8,19","24,43M","-4,07%"
"Nov 08","8,84","7,71","9,21","7,51","15,01M","14,66%"
"Out 08","7,71","9,20","9,24","6,49","20,99M","-17,36%"
"Set 08","9,33","9,08","9,33","7,68","25,56M","2,75%"
"Ago 08","9,08","10,13","10,56","8,75","17,33M","-12,36%"
"Jul 08","10,36","10,00","10,39","9,49","17,33M","0,48%"
"Jun 08","10,31","10,24","10,72","9,76","17,51M","0,00%"
"Mai 08","10,31","10,13","10,91","9,49","23,07M","2,49%"
"Abr 08","10,06","9,25","10,15","8,81","10,92M","6,91%"
"Mar 08","9,41","8,85","9,41","8,05","13,11M","7,91%"
"Fev 08","8,72","8,43","9,50","8,19","11,58M","4,18%"
"Jan 08","8,37","8,91","9,54","7,78","21,52M","-6,06%"
"Dez 07","8,91","9,52","10,07","8,47","15,62M","-3,68%"
"Nov 07","9,25","10,11","10,41","8,37","17,59M","-10,28%"
"Out 07","10,31","9,32","10,81","9,27","17,52M","9,91%"
"Set 07","9,38","9,31","9,77","8,73","11,98M","0,75%"
"Ago 07","9,31","9,25","9,54","7,28","18,53M","0,00%"
"Jul 07","9,31","9,00","10,39","8,88","12,81M","4,26%"
"Jun 07","8,93","8,56","9,35","8,40","12,05M","4,81%"
"Mai 07","8,52","7,55","8,73","7,48","14,81M","14,82%"
"Abr 07","7,42","7,49","8,02","7,30","7,38M","-0,80%"
"Mar 07","7,48","7,01","7,69","6,90","8,83M","4,32%"
"Fev 07","7,17","7,65","7,80","7,06","14,85M","-5,53%"
"Jan 07","7,59","7,36","7,86","6,99","12,95M","1,47%"
"Dez 06","7,48","6,82","7,48","6,74","19,31M","10,16%"
"Nov 06","6,79","7,19","7,59","6,67","18,97M","-3,96%"
"Out 06","7,07","7,48","7,97","6,94","11,63M","-3,42%"
"Set 06","7,32","8,02","8,04","6,87","6,63M","-8,73%"
"Ago 06","8,02","7,07","8,32","7,07","6,65M","12,80%"
"Jul 06","7,11","7,33","7,57","6,69","6,84M","-0,56%"
"Jun 06","7,15","7,11","7,32","6,24","9,13M","0,56%"
"Mai 06","7,11","7,15","7,82","6,53","16,16M","-0,70%"
"Abr 06","7,16","7,65","8,31","7,15","7,97M","-6,41%"
"Mar 06","7,65","7,26","8,26","7,26","11,30M","5,37%"
"Fev 06","7,26","6,49","7,27","5,90","14,36M","11,86%"
"Jan 06","6,49","6,19","6,71","6,03","20,65M","3,67%"
"Dez 05","6,26","5,80","6,32","5,41","39,64M","9,06%"
"Nov 05","5,74","6,66","6,66","5,43","2,77M","-13,68%"
"Out 05","6,65","5,51","6,77","5,28","3,35M","20,25%"
"Set 05","5,53","4,44","6,03","4,32","2,91M","24,83%"
"Ago 05","4,43","4,71","4,98","4,05","3,21M","-5,54%"
"Jul 05","4,69","4,57","4,72","3,78","1,22M","2,18%"
"Jun 05","4,59","4,91","5,12","4,34","1,30M","-6,33%"
