"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Out 98","0,31","0,31","0,31","0,31","3,33K","-16,22%"
"Set 98","0,37","0,37","0,37","0,37","3,36K","-43,94%"
"Ago 98","0,66","0,66","0,66","0,66","3,33K","-18,52%"
"Jun 98","0,81","0,81","0,81","0,81","13,31K","0,00%"
"Mar 98","0,81","0,81","0,81","0,81","3,33K","15,71%"
"Dez 97","0,70","0,70","0,70","0,70","43,69K","0,00%"
"Nov 97","0,70","0,86","0,86","0,66","11,65K","-32,04%"
"Set 97","1,03","1,01","1,03","0,99","185,51K","-6,36%"
"Ago 97","1,10","1,14","1,14","1,10","0,90K","-3,51%"
"Jul 97","1,14","1,14","1,14","1,14","146,41K","0,00%"
"Jun 97","1,14","1,14","1,14","1,14","2,40K","0,00%"
"Mai 97","1,14","1,10","1,14","1,10","31,58K","-0,87%"
"Abr 97","1,15","1,14","1,15","1,14","9,98K","0,88%"
"Mar 97","1,14","1,14","1,14","1,14","1,38M","0,00%"
"Jan 97","1,14","1,14","1,14","1,14","16,64K","10,68%"
"Dez 96","1,03","1,03","1,03","1,03","572,33K","-6,36%"
"Nov 96","1,10","1,10","1,10","1,10","19,96K","0,00%"
"Jul 96","1,10","1,05","1,10","1,05","59,89K","11,11%"
"Jun 96","0,99","0,89","0,99","0,89","13,78K","45,59%"
"Abr 96","0,68","0,66","0,68","0,66","16,97K","3,03%"
"Fev 96","0,66","0,66","0,66","0,66","3,33K","20,00%"
"Dez 95","0,55","0,55","0,55","0,55","3,33K","17,02%"
"Nov 95","0,47","0,47","0,47","0,47","3,33K","9,30%"
"Set 95","0,43","0,43","0,43","0,43","3,33K","16,22%"
"Ago 95","0,37","0,36","0,37","0,36","3,66K","12,12%"
"Jul 95","0,33","0,33","0,33","0,33","0,33K","0,00%"
"Jun 95","0,33","0,33","0,33","0,33","38,93K","0,00%"
"Mai 95","0,33","0,35","0,38","0,33","544,05K","-10,81%"
"Abr 95","0,37","0,31","0,37","0,31","1,56K","27,59%"
"Mar 95","0,29","0,26","0,29","0,26","2,36K","-21,62%"
"Jan 95","0,37","0,37","0,37","0,37","-","-7,50%"
"Dez 94","0,40","0,29","0,40","0,29","976,06K","53,85%"
"Nov 94","0,26","0,19","0,26","0,19","109,81K","44,44%"
"Out 94","0,18","0,14","0,18","0,14","143,45K","38,46%"
"Set 94","0,13","0,13","0,13","0,09","6,33M","550,00%"
