"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Nov 05","5,22","4,48","5,33","4,48","19,72M","16,52%"
"Out 05","4,48","4,36","4,63","4,14","12,26M","2,75%"
"Set 05","4,36","3,76","4,38","3,74","22,55M","16,27%"
"Ago 05","3,75","3,23","3,81","3,23","22,14M","16,10%"
"Jul 05","3,23","3,29","3,36","3,07","15,17M","-3,87%"
"Jun 05","3,36","2,97","3,37","2,96","20,55M","13,51%"
"Mai 05","2,96","2,73","3,08","2,72","26,77M","9,23%"
"Abr 05","2,71","2,88","2,88","2,66","14,76M","-4,24%"
"Mar 05","2,83","2,97","3,26","2,77","20,89M","-5,03%"
"Fev 05","2,98","2,26","3,01","2,26","40,58M","30,70%"
"Jan 05","2,28","2,39","2,41","2,05","28,39M","-5,39%"
"Dez 04","2,41","2,10","2,41","2,09","47,74M","14,76%"
"Nov 04","2,10","2,01","2,11","1,92","17,85M","4,48%"
"Out 04","2,01","1,68","2,04","1,68","35,96M","19,64%"
"Set 04","1,68","1,65","1,71","1,59","18,93M","2,44%"
"Ago 04","1,64","1,65","1,71","1,55","11,26M","0,00%"
"Jul 04","1,64","1,62","1,69","1,60","13,57M","1,23%"
"Jun 04","1,62","1,52","1,64","1,52","11,12M","6,58%"
"Mai 04","1,52","1,41","1,56","1,32","24,06M","7,80%"
"Abr 04","1,41","1,65","1,72","1,41","16,50M","-14,02%"
"Mar 04","1,64","1,77","1,84","1,59","6,63M","-7,34%"
"Fev 04","1,77","1,78","1,90","1,61","2,33M","1,14%"
"Jan 04","1,75","1,87","1,99","1,75","4,11M","-7,89%"
"Dez 03","1,90","1,73","1,95","1,69","4,14M","9,83%"
"Nov 03","1,73","1,44","1,73","1,40","6,10M","21,83%"
"Out 03","1,42","1,32","1,44","1,32","3,21M","7,58%"
"Set 03","1,32","1,41","1,47","1,31","2,27M","-6,38%"
"Ago 03","1,41","1,36","1,45","1,25","2,58M","3,68%"
"Jul 03","1,36","1,26","1,38","1,24","1,43M","5,43%"
"Jun 03","1,29","1,40","1,42","1,26","1,23M","-7,86%"
"Mai 03","1,40","1,42","1,45","1,32","1,29M","0,00%"
"Abr 03","1,40","1,34","1,45","1,32","1,28M","4,48%"
"Mar 03","1,34","1,21","1,38","1,18","2,59M","10,74%"
"Fev 03","1,21","1,21","1,22","1,14","1,14M","1,68%"
"Jan 03","1,19","1,41","1,45","1,16","2,09M","-17,36%"
"Dez 02","1,44","1,20","1,44","1,09","3,15M","20,00%"
"Nov 02","1,20","1,13","1,20","1,06","854,91K","6,19%"
"Out 02","1,13","0,98","1,17","0,92","2,06M","17,71%"
"Set 02","0,96","1,21","1,23","0,93","1,40M","-19,33%"
"Ago 02","1,19","1,13","1,32","1,04","5,31M","8,18%"
"Jul 02","1,10","1,28","1,41","1,00","8,14M","-14,73%"
"Jun 02","1,29","1,50","1,51","1,20","3,53M","-15,13%"
"Mai 02","1,52","1,67","1,67","1,42","1,38M","-8,98%"
"Abr 02","1,67","1,59","1,81","1,59","1,74M","3,73%"
"Mar 02","1,61","1,61","1,68","1,54","4,11M","0,00%"
"Fev 02","1,61","1,40","1,63","1,37","1,23M","13,38%"
"Jan 02","1,42","1,47","1,49","1,37","2,49M","-4,05%"
"Dez 01","1,48","1,31","1,48","1,26","2,49M","12,98%"
"Nov 01","1,31","1,19","1,44","1,17","1,38M","11,02%"
"Out 01","1,18","1,24","1,28","1,11","1,54M","-4,84%"
"Set 01","1,24","1,30","1,35","1,06","1,01M","-5,34%"
"Ago 01","1,31","1,37","1,45","1,30","1,16M","-3,68%"
"Jul 01","1,36","1,40","1,44","1,28","632,89K","-2,86%"
"Jun 01","1,40","1,43","1,54","1,38","1,01M","-2,10%"
"Mai 01","1,43","1,43","1,50","1,37","1,42M","-1,38%"
"Abr 01","1,45","1,34","1,52","1,24","1,33M","5,84%"
"Mar 01","1,37","1,40","1,47","1,20","859,74K","-1,44%"
"Fev 01","1,39","1,52","1,74","1,34","1,01M","-9,15%"
"Jan 01","1,53","1,61","1,75","1,52","1,86M","-7,27%"
"Dez 00","1,65","1,61","1,73","1,41","1,28M","-4,07%"
"Nov 00","1,72","1,29","1,76","1,26","6,44M","35,43%"
"Out 00","1,27","1,52","1,55","1,23","1,22M","-16,45%"
"Set 00","1,52","1,66","1,66","1,46","1,12M","-5,59%"
"Ago 00","1,61","1,66","1,80","1,55","1,88M","-3,01%"
"Jul 00","1,66","1,65","1,73","1,54","2,57M","0,61%"
"Jun 00","1,65","1,39","1,69","1,39","1,38M","20,44%"
"Mai 00","1,37","1,44","1,45","1,20","1,17M","-4,86%"
"Abr 00","1,44","1,48","1,52","1,18","1,16M","-7,10%"
"Mar 00","1,55","1,44","1,56","1,40","1,88M","9,93%"
"Fev 00","1,41","1,58","1,69","1,40","2,01M","-10,76%"
"Jan 00","1,58","1,61","1,87","1,38","2,54M","-1,86%"
"Dez 99","1,61","1,15","1,65","1,15","9,33M","37,61%"
"Nov 99","1,17","1,03","1,22","1,01","3,63M","13,59%"
"Out 99","1,03","0,94","1,09","0,93","5,38M","6,19%"
"Set 99","0,97","0,85","1,01","0,83","8,43M","14,12%"
"Ago 99","0,85","0,90","0,90","0,75","2,30M","-5,56%"
"Jul 99","0,90","0,94","0,98","0,86","1,47M","-4,26%"
"Jun 99","0,94","0,95","1,03","0,91","1,70M","-1,05%"
"Mai 99","0,95","0,99","1,24","0,94","2,92M","-4,04%"
"Abr 99","0,99","1,01","1,03","0,93","2,33M","-2,94%"
"Mar 99","1,02","0,93","1,10","0,91","4,69M","9,68%"
"Fev 99","0,93","0,87","1,03","0,87","3,48M","6,90%"
"Jan 99","0,87","0,73","0,89","0,70","861,81K","20,83%"
"Dez 98","0,72","0,86","0,86","0,63","802,12K","-17,24%"
"Nov 98","0,87","0,74","0,95","0,74","1,53M","17,57%"
"Out 98","0,74","0,74","0,77","0,69","794,98K","-6,33%"
"Set 98","0,79","0,76","0,80","0,54","1,27M","5,33%"
"Ago 98","0,75","1,02","1,02","0,75","623,82K","-26,47%"
"Jul 98","1,02","1,07","1,08","0,96","588,03K","-3,77%"
"Jun 98","1,06","1,01","1,07","0,95","1,58M","1,92%"
"Mai 98","1,04","1,13","1,15","0,96","2,96M","-7,96%"
"Abr 98","1,13","1,30","1,30","1,10","669,75K","-13,08%"
"Mar 98","1,30","1,10","1,35","1,05","1,68M","18,18%"
"Fev 98","1,10","1,03","1,15","1,02","1,33M","5,77%"
"Jan 98","1,04","1,26","1,30","0,91","731,55K","-18,11%"
"Dez 97","1,27","0,92","1,27","0,90","832,50K","38,04%"
"Nov 97","0,92","1,02","1,08","0,76","1,24M","-7,07%"
"Out 97","0,99","1,27","1,42","0,92","1,89M","-21,43%"
"Set 97","1,26","1,20","1,26","1,10","3,22M","4,13%"
"Ago 97","1,21","1,22","1,26","1,13","2,63M","-4,72%"
"Jul 97","1,27","1,17","1,27","1,07","1,84M","8,55%"
"Jun 97","1,17","1,00","1,19","0,83","1,69M","17,00%"
"Mai 97","1,00","0,97","1,00","0,94","1,43M","3,09%"
"Abr 97","0,97","0,95","0,99","0,91","2,06M","2,11%"
"Mar 97","0,95","0,92","0,99","0,91","1,32M","0,00%"
"Fev 97","0,95","0,86","0,96","0,86","929,54K","10,47%"
"Jan 97","0,86","0,80","0,91","0,79","1,00M","7,50%"
"Dez 96","0,80","0,80","0,81","0,76","1,83M","0,00%"
"Nov 96","0,80","0,88","0,89","0,79","2,53M","-10,11%"
"Out 96","0,89","0,86","0,90","0,85","723,73K","3,49%"
"Set 96","0,86","0,83","0,88","0,82","870,21K","3,61%"
"Ago 96","0,83","0,83","0,90","0,82","688,24K","0,00%"
"Jul 96","0,83","0,82","0,86","0,78","2,56M","1,22%"
"Jun 96","0,82","0,77","0,84","0,73","1,15M","43,86%"
"Mai 96","0,57","0,53","0,60","0,51","14,34M","9,62%"
"Abr 96","0,52","0,48","0,53","0,46","2,40M","8,33%"
"Mar 96","0,48","0,51","0,53","0,46","2,29M","-4,00%"
"Fev 96","0,50","0,53","0,58","0,50","2,93M","-7,41%"
"Jan 96","0,54","0,43","0,54","0,42","2,55M","25,58%"
"Dez 95","0,43","0,40","0,44","0,40","1,21M","4,88%"
"Nov 95","0,41","0,45","0,45","0,37","980,29K","-8,89%"
"Out 95","0,45","0,45","0,48","0,41","592,26K","0,00%"
"Set 95","0,45","0,46","0,50","0,44","2,17M","-2,17%"
"Ago 95","0,46","0,44","0,48","0,43","2,11M","6,98%"
"Jul 95","0,43","0,38","0,45","0,38","3,02M","13,16%"
"Jun 95","0,38","0,38","0,42","0,37","1,44M","0,00%"
"Mai 95","0,38","0,35","0,41","0,35","1,56M","8,57%"
"Abr 95","0,35","0,31","0,38","0,29","1,29M","9,38%"
"Mar 95","0,32","0,33","0,35","0,25","1,84M","-5,88%"
"Fev 95","0,34","0,36","0,37","0,30","4,43M","-5,56%"
"Jan 95","0,36","0,39","0,39","0,29","548,20K","-2,70%"
"Dez 94","0,37","0,36","0,41","0,34","9,09M","2,78%"
"Nov 94","0,36","0,40","0,40","0,35","2,35M","-10,00%"
"Out 94","0,40","0,43","0,45","0,38","5,61M","-6,98%"
"Set 94","0,43","0,44","0,44","0,36","2,53M","0,00%"
"Ago 94","0,43","0,33","0,50","0,33","2,99M","30,30%"
"Jul 94","0,33","0,29","0,35","0,23","803,85K","13,79%"
"Jun 94","0,29","0,25","0,30","0,22","655,67K","16,00%"
"Mai 94","0,25","0,14","0,26","0,12","728,56K","78,57%"
"Abr 94","0,14","0,13","0,14","0,10","1,33M","0,00%"
"Mar 94","0,14","0,09","0,14","0,08","1,34M","55,56%"
"Fev 94","0,09","0,07","0,10","0,06","1,65M","50,00%"
"Jan 94","0,06","0,04","0,07","0,04","1,22M","50,00%"
"Dez 93","0,04","0,03","0,04","0,03","6,05M","33,33%"
"Nov 93","0,03","0,02","0,03","0,02","5,50M","50,00%"
"Out 93","0,02","0,01","0,02","0,01","10,29M","100,00%"
"Set 93","0,01","0,01","0,02","0,01","24,59M","0,00%"
"Ago 93","0,01","0,01","0,01","0,01","4,20M","0,00%"
"Jul 93","0,01","0,01","0,01","0,00","16,21M","0,00%"
"Jun 93","0,01","0,00","0,01","0,00","4,66M","0,00%"
"Mai 93","0,00","0,00","0,00","0,00","-","0,00%"
"Abr 93","0,00","0,00","0,00","0,00","-","0,00%"
"Mar 93","0,00","0,00","0,00","0,00","-","0,00%"
"Fev 93","0,00","0,00","0,00","0,00","-","0,00%"
"Jan 93","0,00","0,00","0,00","0,00","-","0,00%"
"Dez 92","0,00","0,00","0,00","0,00","-","0,00%"
"Nov 92","0,00","0,00","0,00","0,00","-","0,00%"
