"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Jun 14","5,95","4,05","6,00","3,90","18,93M","45,12%"
"Mai 14","4,10","3,25","4,40","3,10","30,07M","28,12%"
"Abr 14","3,20","4,70","5,10","3,15","22,59M","-31,18%"
"Mar 14","4,65","5,45","5,45","4,55","10,71M","-13,08%"
"Fev 14","5,35","6,00","6,05","5,05","23,98M","-7,76%"
"Jan 14","5,80","4,55","6,85","4,05","78,99M","27,47%"
"Dez 13","4,55","3,65","5,00","3,30","27,90M","22,97%"
"Nov 13","3,70","3,35","4,45","3,25","24,88M","12,12%"
"Out 13","3,30","5,85","5,90","3,25","33,15M","-43,10%"
"Set 13","5,80","7,45","8,75","5,35","25,81M","-22,67%"
"Ago 13","7,50","8,55","8,60","6,65","10,36M","-11,24%"
"Jul 13","8,45","12,95","13,70","8,05","20,06M","-35,50%"
"Jun 13","13,10","12,10","13,40","9,20","16,12M","13,42%"
"Mai 13","11,55","21,70","23,60","11,35","37,20M","-46,90%"
"Abr 13","21,75","16,70","24,25","16,30","20,12M","30,63%"
"Mar 13","16,65","18,15","20,00","16,40","12,19M","-9,51%"
"Fev 13","18,40","20,10","21,05","17,35","9,43M","-1,87%"
"Jan 13","18,75","24,15","28,65","18,60","15,10M","-20,72%"
"Dez 12","23,65","25,80","26,65","23,15","9,49M","-7,25%"
"Nov 12","25,50","30,65","31,65","23,10","17,88M","-16,39%"
"Out 12","30,50","22,50","32,40","19,95","25,25M","37,08%"
"Set 12","22,25","23,95","25,70","18,00","28,53M","-4,30%"
"Ago 12","23,25","24,85","28,95","17,55","27,18M","-6,63%"
"Jul 12","24,90","31,30","33,00","24,65","8,31M","-20,45%"
"Jun 12","31,30","31,45","39,25","25,30","10,05M","-7,26%"
"Mai 12","33,75","55,00","56,90","28,95","12,89M","-38,41%"
"Abr 12","54,80","63,90","63,90","47,60","7,52M","-13,33%"
"Mar 12","63,23","69,30","73,22","59,10","14,24M","-7,29%"
"Fev 12","68,20","46,70","69,90","45,20","14,30M","48,91%"
"Jan 12","45,80","57,00","58,00","37,20","18,94M","-19,37%"
"Dez 11","56,80","67,00","71,30","51,80","8,24M","-14,59%"
"Nov 11","66,50","82,20","91,20","54,70","12,00M","-22,31%"
"Out 11","85,60","71,80","86,40","60,30","11,57M","14,13%"
"Set 11","75,00","110,00","110,00","72,00","10,63M","-28,50%"
"Ago 11","104,90","145,86","150,00","87,00","12,24M","-27,46%"
"Jul 11","144,60","139,00","167,20","139,00","8,97M","3,29%"
"Jun 11","140,00","140,20","145,00","131,00","8,33M","-1,41%"
"Mai 11","142,00","164,90","165,00","137,50","8,78M","-11,80%"
"Abr 11","161,00","170,00","183,00","149,00","13,15M","-5,35%"
"Mar 11","170,10","185,00","222,00","166,10","7,56M","-9,28%"
"Fev 11","187,50","182,00","199,00","162,00","12,47M","3,13%"
"Jan 11","181,80","159,00","183,41","154,50","4,76M","14,34%"
"Dez 10","159,00","135,40","169,90","135,00","5,59M","17,43%"
"Nov 10","135,40","114,20","143,50","111,00","5,14M","19,09%"
