"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 00","1,08","1,05","1,12","1,01","1,13M","-1,82%"
"Jan 00","1,10","1,21","1,23","1,09","374,38K","-14,06%"
"Dez 99","1,28","0,92","1,28","0,92","1,39M","39,13%"
"Nov 99","0,92","0,83","0,95","0,83","566,19K","12,20%"
"Out 99","0,82","0,74","0,82","0,73","1,15M","5,13%"
"Set 99","0,78","0,68","0,80","0,68","623,33K","16,42%"
"Ago 99","0,67","0,67","0,67","0,61","1,10M","-1,47%"
"Jul 99","0,68","0,68","0,72","0,67","1,16M","0,00%"
"Jun 99","0,68","0,66","0,70","0,66","1,23M","1,49%"
"Mai 99","0,67","0,59","0,76","0,59","1,65M","13,56%"
"Abr 99","0,59","0,58","0,61","0,57","1,30M","1,72%"
"Mar 99","0,58","0,50","0,58","0,50","2,65M","16,00%"
"Fev 99","0,50","0,49","0,52","0,49","1,80M","11,11%"
"Jan 99","0,45","0,44","0,45","0,44","2,09M","-8,16%"
"Dez 98","0,49","0,50","0,50","0,42","641,38K","-7,55%"
"Nov 98","0,53","0,47","0,54","0,47","799,01K","12,77%"
"Out 98","0,47","0,39","0,47","0,38","1,10M","9,30%"
"Set 98","0,43","0,41","0,44","0,32","1,34M","4,88%"
"Ago 98","0,41","0,54","0,54","0,41","4,91M","-25,45%"
"Jul 98","0,55","0,44","0,56","0,44","5,41M","22,22%"
"Jun 98","0,45","0,45","0,45","0,42","1,89M","0,00%"
"Mai 98","0,45","0,50","0,50","0,43","3,31M","-6,25%"
"Abr 98","0,48","0,46","0,52","0,46","3,06M","4,35%"
"Mar 98","0,46","0,43","0,46","0,42","1,91M","9,52%"
"Fev 98","0,42","0,40","0,42","0,40","3,43M","5,00%"
"Jan 98","0,40","0,43","0,43","0,37","1,65M","-2,44%"
"Dez 97","0,41","0,34","0,41","0,33","1,91M","24,24%"
"Nov 97","0,33","0,35","0,35","0,30","4,58M","6,45%"
"Out 97","0,31","0,48","0,51","0,31","2,43M","-35,42%"
"Set 97","0,48","0,43","0,51","0,41","1,81M","11,63%"
