"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Dez 12","1,90","1,95","2,03","1,90","607,20K","-3,55%"
"Nov 12","1,97","2,07","2,14","1,93","899,99K","-2,48%"
"Out 12","2,02","2,08","2,11","1,95","2,65M","-3,35%"
"Set 12","2,09","2,20","2,20","2,09","818,39K","-3,24%"
"Ago 12","2,16","2,08","2,16","2,08","866,39K","3,35%"
"Jul 12","2,09","2,09","2,16","2,02","1,31M","-2,34%"
"Jun 12","2,14","1,98","2,17","1,98","31,20K","5,42%"
"Mai 12","2,03","2,04","2,14","2,00","52,80K","-3,33%"
"Abr 12","2,10","2,00","2,10","1,92","319,20K","3,45%"
"Mar 12","2,03","1,91","2,04","1,91","791,99K","10,33%"
"Fev 12","1,84","1,84","1,84","1,84","2,40K","5,14%"
"Jan 12","1,75","1,75","1,75","1,74","19,20K","6,71%"
"Dez 11","1,64","1,64","1,64","1,64","940,79K","21,48%"
